"run","benefit","initial_propD","play_pd","cost","baseline_fitness","play_spatial","step","propC_end"
"2","1","0.5","false","0.75","0","true","1000","0.2432"
"1","1","0.5","false","0.75","0","true","1000","0.244"
"3","1","0.5","false","0.75","0","true","1000","0.2536"
"4","1","0.5","false","0.75","0","true","1000","0.2536"
"5","1","0.5","false","0.75","0","true","1000","0.25"
"7","1","0.5","false","0.75","0","true","1000","0.2544"
"6","1","0.5","false","0.75","0","true","1000","0.2508"
"8","1","0.5","false","0.75","0","true","1000","0.2436"
"9","1","0.5","false","0.75","0","true","1000","0.2584"
"10","1","0.5","false","0.75","0","true","1000","0.2584"
"11","1","0.5","false","0.75","0","true","1000","0.25"
"12","1","0.5","false","0.75","0","true","1000","0.2568"
"13","1","0.5","false","0.75","0","true","1000","0.2488"
"14","1","0.5","false","0.75","0","true","1000","0.246"
"16","1","0.5","false","0.75","0","true","1000","0.25"
"15","1","0.5","false","0.75","0","true","1000","0.2656"
"17","1","0.5","false","0.75","0","true","1000","0.2416"
"18","1","0.5","false","0.75","0","true","1000","0.2432"
"19","1","0.5","false","0.75","0","true","1000","0.252"
"20","1","0.5","false","0.75","0","true","1000","0.2508"
"21","1","0.5","false","0.75","0","true","1000","0.2524"
"22","1","0.5","false","0.75","0","true","1000","0.2516"
"23","1","0.5","false","0.75","0","true","1000","0.2404"
"25","1","0.5","false","0.75","0","true","1000","0.2512"
"24","1","0.5","false","0.75","0","true","1000","0.2572"
"26","1","0.5","false","0.75","0","true","1000","0.248"
"27","1","0.5","false","0.75","0","true","1000","0.2472"
"28","1","0.5","false","0.75","0","true","1000","0.2452"
"29","1","0.5","false","0.75","0","true","1000","0.2452"
"30","1","0.5","false","0.75","0","true","1000","0.25"
"31","1","0.5","false","0.75","0","true","1000","0.246"
"32","1","0.5","false","0.75","0","true","1000","0.2472"
"34","1","0.5","false","0.75","0","true","1000","0.2384"
"33","1","0.5","false","0.75","0","true","1000","0.2428"
"35","1","0.5","false","0.75","0","true","1000","0.242"
"36","1","0.5","false","0.75","0","true","1000","0.248"
"37","1","0.5","false","0.75","0","true","1000","0.248"
"38","1","0.5","false","0.75","0","true","1000","0.2472"
"39","1","0.5","false","0.75","0","true","1000","0.2464"
"40","1","0.5","false","0.75","0","true","1000","0.248"
"41","1","0.5","false","0.75","0","true","1000","0.2356"
"43","1","0.5","false","0.75","0","true","1000","0.2576"
"42","1","0.5","false","0.75","0","true","1000","0.2524"
"44","1","0.5","false","0.75","0","true","1000","0.2428"
"45","1","0.5","false","0.75","0","true","1000","0.2344"
"46","1","0.5","false","0.75","0","true","1000","0.2408"
"47","1","0.5","false","0.75","0","true","1000","0.2472"
"48","1","0.5","false","0.75","0","true","1000","0.2544"
"49","1","0.5","false","0.75","0","true","1000","0.2536"
"50","1","0.5","false","0.75","0","true","1000","0.252"
