"run","benefit","initial_propD","play_pd","cost","baseline_fitness","play_spatial","step","propC_end"
"2","1","0.5","false","0.75","0","true","10000","0.2384"
"1","1","0.5","false","0.75","0","true","10000","0.25"
"3","1","0.5","false","0.75","0","true","10000","0.242"
"4","1","0.5","false","0.75","0","true","10000","0.2556"
"5","1","0.5","false","0.75","0","true","10000","0.2496"
"6","1","0.5","false","0.75","0","true","10000","0.2492"
"7","1","0.5","false","0.75","0","true","10000","0.252"
"8","1","0.5","false","0.75","0","true","10000","0.2496"
"9","1","0.5","false","0.75","0","true","10000","0.25"
"11","1","0.5","false","0.75","0","true","10000","0.2464"
"10","1","0.5","false","0.75","0","true","10000","0.2584"
"12","1","0.5","false","0.75","0","true","10000","0.2304"
"13","1","0.5","false","0.75","0","true","10000","0.2512"
"14","1","0.5","false","0.75","0","true","10000","0.248"
"15","1","0.5","false","0.75","0","true","10000","0.2468"
"16","1","0.5","false","0.75","0","true","10000","0.2424"
"17","1","0.5","false","0.75","0","true","10000","0.2408"
"18","1","0.5","false","0.75","0","true","10000","0.2464"
"20","1","0.5","false","0.75","0","true","10000","0.2488"
"19","1","0.5","false","0.75","0","true","10000","0.2484"
"21","1","0.5","false","0.75","0","true","10000","0.248"
"22","1","0.5","false","0.75","0","true","10000","0.2512"
"23","1","0.5","false","0.75","0","true","10000","0.25"
"24","1","0.5","false","0.75","0","true","10000","0.238"
"25","1","0.5","false","0.75","0","true","10000","0.2636"
"26","1","0.5","false","0.75","0","true","10000","0.2476"
"27","1","0.5","false","0.75","0","true","10000","0.2516"
"29","1","0.5","false","0.75","0","true","10000","0.2512"
"28","1","0.5","false","0.75","0","true","10000","0.256"
"30","1","0.5","false","0.75","0","true","10000","0.2424"
"31","1","0.5","false","0.75","0","true","10000","0.2476"
"32","1","0.5","false","0.75","0","true","10000","0.2544"
"33","1","0.5","false","0.75","0","true","10000","0.2404"
"34","1","0.5","false","0.75","0","true","10000","0.2452"
"35","1","0.5","false","0.75","0","true","10000","0.2488"
"36","1","0.5","false","0.75","0","true","10000","0.2436"
"37","1","0.5","false","0.75","0","true","10000","0.2488"
"38","1","0.5","false","0.75","0","true","10000","0.2476"
"40","1","0.5","false","0.75","0","true","10000","0.25"
"39","1","0.5","false","0.75","0","true","10000","0.2456"
"41","1","0.5","false","0.75","0","true","10000","0.242"
"42","1","0.5","false","0.75","0","true","10000","0.232"
"43","1","0.5","false","0.75","0","true","10000","0.2384"
"44","1","0.5","false","0.75","0","true","10000","0.2532"
"45","1","0.5","false","0.75","0","true","10000","0.2456"
"46","1","0.5","false","0.75","0","true","10000","0.2452"
"47","1","0.5","false","0.75","0","true","10000","0.2448"
"49","1","0.5","false","0.75","0","true","10000","0.246"
"48","1","0.5","false","0.75","0","true","10000","0.2528"
"50","1","0.5","false","0.75","0","true","10000","0.2468"
