"run","benefit","initial_propD","play_pd","cost","baseline_fitness","play_spatial","step","propC_end"
"2","1","0.4","false","0.75","0","true","500","0.2548"
"3","1","0.4","false","0.75","0","true","500","0.2396"
"1","1","0.4","false","0.75","0","true","500","0.242"
"4","1","0.4","false","0.75","0","true","500","0.2436"
"5","1","0.4","false","0.75","0","true","500","0.2428"
"6","1","0.4","false","0.75","0","true","500","0.246"
"7","1","0.4","false","0.75","0","true","500","0.2288"
"8","1","0.4","false","0.75","0","true","500","0.248"
"10","1","0.4","false","0.75","0","true","500","0.2444"
"9","1","0.4","false","0.75","0","true","500","0.2436"
"11","1","0.4","false","0.75","0","true","500","0.2392"
"12","1","0.4","false","0.75","0","true","500","0.2524"
"13","1","0.4","false","0.75","0","true","500","0.2604"
"14","1","0.4","false","0.75","0","true","500","0.2384"
"15","1","0.4","false","0.75","0","true","500","0.2416"
"16","1","0.4","false","0.75","0","true","500","0.256"
"17","1","0.4","false","0.75","0","true","500","0.2432"
"19","1","0.4","false","0.75","0","true","500","0.2504"
"18","1","0.4","false","0.75","0","true","500","0.2588"
"20","1","0.4","false","0.75","0","true","500","0.2504"
"21","1","0.4","false","0.75","0","true","500","0.2472"
"22","1","0.4","false","0.75","0","true","500","0.2484"
"23","1","0.4","false","0.75","0","true","500","0.2464"
"24","1","0.4","false","0.75","0","true","500","0.2452"
"25","1","0.4","false","0.75","0","true","500","0.2476"
"26","1","0.4","false","0.75","0","true","500","0.2476"
"27","1","0.4","false","0.75","0","true","500","0.2392"
"28","1","0.4","false","0.75","0","true","500","0.25"
"30","1","0.4","false","0.75","0","true","500","0.2452"
"29","1","0.4","false","0.75","0","true","500","0.256"
"31","1","0.4","false","0.75","0","true","500","0.2544"
"32","1","0.4","false","0.75","0","true","500","0.2404"
"33","1","0.4","false","0.75","0","true","500","0.2464"
"34","1","0.4","false","0.75","0","true","500","0.2456"
"35","1","0.4","false","0.75","0","true","500","0.2528"
"36","1","0.4","false","0.75","0","true","500","0.2496"
"37","1","0.4","false","0.75","0","true","500","0.2468"
"39","1","0.4","false","0.75","0","true","500","0.2444"
"38","1","0.4","false","0.75","0","true","500","0.2488"
"40","1","0.4","false","0.75","0","true","500","0.2568"
"41","1","0.4","false","0.75","0","true","500","0.2532"
"42","1","0.4","false","0.75","0","true","500","0.2492"
"43","1","0.4","false","0.75","0","true","500","0.2424"
"44","1","0.4","false","0.75","0","true","500","0.2396"
"45","1","0.4","false","0.75","0","true","500","0.2628"
"46","1","0.4","false","0.75","0","true","500","0.248"
"47","1","0.4","false","0.75","0","true","500","0.244"
"48","1","0.4","false","0.75","0","true","500","0.2412"
"50","1","0.4","false","0.75","0","true","500","0.2492"
"49","1","0.4","false","0.75","0","true","500","0.2444"
