"BehaviorSpace results (NetLogo 5.0.5)"
"extended_prisoners_dilemma.nlogo"
"experiment_stable_coexistence_variation_of_costs"
"12/14/2014 16:39:11:083 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","49","0","49"
"[run number]","benefit","initial_propD","play_pd","cost","baseline_fitness","play_spatial","[step]","count patches with [strategy_current = ""C""] / (count patches)"
"2","1","0.6","false","0","0","true","500","0.89"
"3","1","0.6","false","0","0","true","500","0.8864"
"4","1","0.6","false","0","0","true","500","0.8832"
"5","1","0.6","false","0","0","true","500","0.8828"
"1","1","0.6","false","0","0","true","500","0.88"
"6","1","0.6","false","0","0","true","500","0.886"
"8","1","0.6","false","0","0","true","500","0.8832"
"9","1","0.6","false","0","0","true","500","0.8808"
"10","1","0.6","false","0","0","true","500","0.8888"
"11","1","0.6","false","0","0","true","500","0.8868"
"7","1","0.6","false","0","0","true","500","0.892"
"12","1","0.6","false","0","0","true","500","0.8844"
"14","1","0.6","false","0","0","true","500","0.8848"
"15","1","0.6","false","0","0","true","500","0.8828"
"16","1","0.6","false","0","0","true","500","0.8832"
"17","1","0.6","false","0","0","true","500","0.8824"
"13","1","0.6","false","0","0","true","500","0.8796"
"18","1","0.6","false","0","0","true","500","0.8884"
"20","1","0.6","false","0","0","true","500","0.89"
"21","1","0.6","false","0","0","true","500","0.8832"
"22","1","0.6","false","0","0","true","500","0.8824"
"23","1","0.6","false","0","0","true","500","0.8844"
"19","1","0.6","false","0","0","true","500","0.8816"
"24","1","0.6","false","0","0","true","500","0.8844"
"26","1","0.6","false","0","0","true","500","0.8892"
"27","1","0.6","false","0","0","true","500","0.8892"
"28","1","0.6","false","0","0","true","500","0.8836"
"29","1","0.6","false","0","0","true","500","0.8832"
"25","1","0.6","false","0","0","true","500","0.8796"
"30","1","0.6","false","0","0","true","500","0.8824"
"32","1","0.6","false","0","0","true","500","0.8868"
"33","1","0.6","false","0","0","true","500","0.8856"
"34","1","0.6","false","0","0","true","500","0.8804"
"31","1","0.6","false","0","0","true","500","0.8816"
"35","1","0.6","false","0","0","true","500","0.8884"
"37","1","0.6","false","0","0","true","500","0.8892"
"38","1","0.6","false","0","0","true","500","0.8864"
"39","1","0.6","false","0","0","true","500","0.8876"
"40","1","0.6","false","0","0","true","500","0.8904"
"36","1","0.6","false","0","0","true","500","0.8856"
"41","1","0.6","false","0","0","true","500","0.8808"
"43","1","0.6","false","0","0","true","500","0.8844"
"44","1","0.6","false","0","0","true","500","0.8928"
"45","1","0.6","false","0","0","true","500","0.892"
"46","1","0.6","false","0","0","true","500","0.8852"
"42","1","0.6","false","0","0","true","500","0.878"
"47","1","0.6","false","0","0","true","500","0.8868"
"49","1","0.6","false","0","0","true","500","0.8856"
"50","1","0.6","false","0","0","true","500","0.8888"
"51","1","0.6","false","0.01","0","true","500","0.9384"
"52","1","0.6","false","0.01","0","true","500","0.94"
"48","1","0.6","false","0","0","true","500","0.8804"
"53","1","0.6","false","0.01","0","true","500","0.9376"
"55","1","0.6","false","0.01","0","true","500","0.9388"
"56","1","0.6","false","0.01","0","true","500","0.9348"
"57","1","0.6","false","0.01","0","true","500","0.9364"
"58","1","0.6","false","0.01","0","true","500","0.94"
"54","1","0.6","false","0.01","0","true","500","0.936"
"59","1","0.6","false","0.01","0","true","500","0.9312"
"61","1","0.6","false","0.01","0","true","500","0.9372"
"62","1","0.6","false","0.01","0","true","500","0.94"
"63","1","0.6","false","0.01","0","true","500","0.9392"
"60","1","0.6","false","0.01","0","true","500","0.9356"
"64","1","0.6","false","0.01","0","true","500","0.9348"
"66","1","0.6","false","0.01","0","true","500","0.9404"
"67","1","0.6","false","0.01","0","true","500","0.9376"
"68","1","0.6","false","0.01","0","true","500","0.936"
"69","1","0.6","false","0.01","0","true","500","0.9412"
"65","1","0.6","false","0.01","0","true","500","0.942"
"70","1","0.6","false","0.01","0","true","500","0.9408"
"72","1","0.6","false","0.01","0","true","500","0.9368"
"73","1","0.6","false","0.01","0","true","500","0.9376"
"74","1","0.6","false","0.01","0","true","500","0.9444"
"75","1","0.6","false","0.01","0","true","500","0.9376"
"71","1","0.6","false","0.01","0","true","500","0.9432"
"76","1","0.6","false","0.01","0","true","500","0.9424"
"78","1","0.6","false","0.01","0","true","500","0.9372"
"79","1","0.6","false","0.01","0","true","500","0.9336"
"80","1","0.6","false","0.01","0","true","500","0.9392"
"81","1","0.6","false","0.01","0","true","500","0.9384"
"77","1","0.6","false","0.01","0","true","500","0.9412"
"82","1","0.6","false","0.01","0","true","500","0.9396"
"84","1","0.6","false","0.01","0","true","500","0.9412"
"85","1","0.6","false","0.01","0","true","500","0.9392"
"86","1","0.6","false","0.01","0","true","500","0.9372"
"83","1","0.6","false","0.01","0","true","500","0.942"
"87","1","0.6","false","0.01","0","true","500","0.9332"
"89","1","0.6","false","0.01","0","true","500","0.9364"
"90","1","0.6","false","0.01","0","true","500","0.938"
"91","1","0.6","false","0.01","0","true","500","0.9328"
"92","1","0.6","false","0.01","0","true","500","0.9432"
"88","1","0.6","false","0.01","0","true","500","0.9404"
"93","1","0.6","false","0.01","0","true","500","0.9404"
"95","1","0.6","false","0.01","0","true","500","0.9392"
"96","1","0.6","false","0.01","0","true","500","0.9384"
"97","1","0.6","false","0.01","0","true","500","0.9384"
"98","1","0.6","false","0.01","0","true","500","0.9376"
"94","1","0.6","false","0.01","0","true","500","0.9356"
"99","1","0.6","false","0.01","0","true","500","0.9416"
"101","1","0.6","false","0.02","0","true","500","0.9524"
"102","1","0.6","false","0.02","0","true","500","0.956"
"103","1","0.6","false","0.02","0","true","500","0.9564"
"104","1","0.6","false","0.02","0","true","500","0.9588"
"100","1","0.6","false","0.01","0","true","500","0.94"
"105","1","0.6","false","0.02","0","true","500","0.9576"
"107","1","0.6","false","0.02","0","true","500","0.9536"
"108","1","0.6","false","0.02","0","true","500","0.9556"
"109","1","0.6","false","0.02","0","true","500","0.95"
"106","1","0.6","false","0.02","0","true","500","0.9556"
"110","1","0.6","false","0.02","0","true","500","0.9508"
"112","1","0.6","false","0.02","0","true","500","0.9524"
"113","1","0.6","false","0.02","0","true","500","0.958"
"114","1","0.6","false","0.02","0","true","500","0.956"
"115","1","0.6","false","0.02","0","true","500","0.956"
"111","1","0.6","false","0.02","0","true","500","0.95"
"116","1","0.6","false","0.02","0","true","500","0.9576"
"118","1","0.6","false","0.02","0","true","500","0.9524"
"119","1","0.6","false","0.02","0","true","500","0.956"
"120","1","0.6","false","0.02","0","true","500","0.9508"
"121","1","0.6","false","0.02","0","true","500","0.954"
"117","1","0.6","false","0.02","0","true","500","0.9536"
"122","1","0.6","false","0.02","0","true","500","0.9576"
"124","1","0.6","false","0.02","0","true","500","0.9532"
"125","1","0.6","false","0.02","0","true","500","0.9572"
"126","1","0.6","false","0.02","0","true","500","0.9568"
"127","1","0.6","false","0.02","0","true","500","0.9556"
"123","1","0.6","false","0.02","0","true","500","0.952"
"128","1","0.6","false","0.02","0","true","500","0.95"
"130","1","0.6","false","0.02","0","true","500","0.9548"
"131","1","0.6","false","0.02","0","true","500","0.9552"
"132","1","0.6","false","0.02","0","true","500","0.9528"
"133","1","0.6","false","0.02","0","true","500","0.9516"
"129","1","0.6","false","0.02","0","true","500","0.9568"
"134","1","0.6","false","0.02","0","true","500","0.9584"
"136","1","0.6","false","0.02","0","true","500","0.954"
"137","1","0.6","false","0.02","0","true","500","0.9588"
"138","1","0.6","false","0.02","0","true","500","0.9516"
"135","1","0.6","false","0.02","0","true","500","0.96"
"139","1","0.6","false","0.02","0","true","500","0.954"
"141","1","0.6","false","0.02","0","true","500","0.9552"
"142","1","0.6","false","0.02","0","true","500","0.952"
"143","1","0.6","false","0.02","0","true","500","0.9564"
"144","1","0.6","false","0.02","0","true","500","0.9564"
"140","1","0.6","false","0.02","0","true","500","0.952"
"145","1","0.6","false","0.02","0","true","500","0.9612"
"147","1","0.6","false","0.02","0","true","500","0.9556"
"148","1","0.6","false","0.02","0","true","500","0.9524"
"149","1","0.6","false","0.02","0","true","500","0.9512"
"150","1","0.6","false","0.02","0","true","500","0.956"
"146","1","0.6","false","0.02","0","true","500","0.9556"
"151","1","0.6","false","0.03","0","true","500","0.962"
"153","1","0.6","false","0.03","0","true","500","0.9636"
"154","1","0.6","false","0.03","0","true","500","0.9628"
"155","1","0.6","false","0.03","0","true","500","0.9632"
"156","1","0.6","false","0.03","0","true","500","0.9644"
"152","1","0.6","false","0.03","0","true","500","0.9624"
"157","1","0.6","false","0.03","0","true","500","0.9688"
"159","1","0.6","false","0.03","0","true","500","0.966"
"160","1","0.6","false","0.03","0","true","500","0.9656"
"161","1","0.6","false","0.03","0","true","500","0.9608"
"158","1","0.6","false","0.03","0","true","500","0.9588"
"162","1","0.6","false","0.03","0","true","500","0.9648"
"164","1","0.6","false","0.03","0","true","500","0.9676"
"165","1","0.6","false","0.03","0","true","500","0.968"
"166","1","0.6","false","0.03","0","true","500","0.9656"
"167","1","0.6","false","0.03","0","true","500","0.9652"
"163","1","0.6","false","0.03","0","true","500","0.9576"
"168","1","0.6","false","0.03","0","true","500","0.9588"
"170","1","0.6","false","0.03","0","true","500","0.9628"
"171","1","0.6","false","0.03","0","true","500","0.962"
"172","1","0.6","false","0.03","0","true","500","0.9628"
"173","1","0.6","false","0.03","0","true","500","0.9656"
"169","1","0.6","false","0.03","0","true","500","0.962"
"174","1","0.6","false","0.03","0","true","500","0.9612"
"176","1","0.6","false","0.03","0","true","500","0.964"
"177","1","0.6","false","0.03","0","true","500","0.9636"
"178","1","0.6","false","0.03","0","true","500","0.9628"
"179","1","0.6","false","0.03","0","true","500","0.9612"
"175","1","0.6","false","0.03","0","true","500","0.96"
"180","1","0.6","false","0.03","0","true","500","0.9612"
"182","1","0.6","false","0.03","0","true","500","0.9644"
"183","1","0.6","false","0.03","0","true","500","0.9644"
"184","1","0.6","false","0.03","0","true","500","0.962"
"181","1","0.6","false","0.03","0","true","500","0.9648"
"185","1","0.6","false","0.03","0","true","500","0.9624"
"187","1","0.6","false","0.03","0","true","500","0.9644"
"188","1","0.6","false","0.03","0","true","500","0.966"
"189","1","0.6","false","0.03","0","true","500","0.9668"
"190","1","0.6","false","0.03","0","true","500","0.9668"
"186","1","0.6","false","0.03","0","true","500","0.9652"
"191","1","0.6","false","0.03","0","true","500","0.9636"
"193","1","0.6","false","0.03","0","true","500","0.9616"
"194","1","0.6","false","0.03","0","true","500","0.964"
"195","1","0.6","false","0.03","0","true","500","0.9664"
"196","1","0.6","false","0.03","0","true","500","0.9656"
"192","1","0.6","false","0.03","0","true","500","0.966"
"197","1","0.6","false","0.03","0","true","500","0.964"
"199","1","0.6","false","0.03","0","true","500","0.9668"
"200","1","0.6","false","0.03","0","true","500","0.9624"
"201","1","0.6","false","0.04","0","true","500","0.9656"
"202","1","0.6","false","0.04","0","true","500","0.9656"
"198","1","0.6","false","0.03","0","true","500","0.9612"
"203","1","0.6","false","0.04","0","true","500","0.9696"
"205","1","0.6","false","0.04","0","true","500","0.9708"
"206","1","0.6","false","0.04","0","true","500","0.9672"
"207","1","0.6","false","0.04","0","true","500","0.9704"
"208","1","0.6","false","0.04","0","true","500","0.9688"
"204","1","0.6","false","0.04","0","true","500","0.9692"
"209","1","0.6","false","0.04","0","true","500","0.9688"
"211","1","0.6","false","0.04","0","true","500","0.9656"
"212","1","0.6","false","0.04","0","true","500","0.9684"
"213","1","0.6","false","0.04","0","true","500","0.9648"
"210","1","0.6","false","0.04","0","true","500","0.9668"
"214","1","0.6","false","0.04","0","true","500","0.9636"
"216","1","0.6","false","0.04","0","true","500","0.9644"
"217","1","0.6","false","0.04","0","true","500","0.9644"
"218","1","0.6","false","0.04","0","true","500","0.9672"
"219","1","0.6","false","0.04","0","true","500","0.9696"
"215","1","0.6","false","0.04","0","true","500","0.9676"
"220","1","0.6","false","0.04","0","true","500","0.9664"
"222","1","0.6","false","0.04","0","true","500","0.968"
"223","1","0.6","false","0.04","0","true","500","0.9636"
"224","1","0.6","false","0.04","0","true","500","0.9672"
"225","1","0.6","false","0.04","0","true","500","0.9676"
"221","1","0.6","false","0.04","0","true","500","0.9656"
"226","1","0.6","false","0.04","0","true","500","0.9668"
"228","1","0.6","false","0.04","0","true","500","0.9636"
"229","1","0.6","false","0.04","0","true","500","0.9664"
"230","1","0.6","false","0.04","0","true","500","0.9688"
"231","1","0.6","false","0.04","0","true","500","0.97"
"227","1","0.6","false","0.04","0","true","500","0.9656"
"232","1","0.6","false","0.04","0","true","500","0.9656"
"234","1","0.6","false","0.04","0","true","500","0.9604"
"235","1","0.6","false","0.04","0","true","500","0.9688"
"236","1","0.6","false","0.04","0","true","500","0.9616"
"237","1","0.6","false","0.04","0","true","500","0.9676"
"233","1","0.6","false","0.04","0","true","500","0.9644"
"238","1","0.6","false","0.04","0","true","500","0.9676"
"240","1","0.6","false","0.04","0","true","500","0.9684"
"241","1","0.6","false","0.04","0","true","500","0.9644"
"242","1","0.6","false","0.04","0","true","500","0.966"
"239","1","0.6","false","0.04","0","true","500","0.9644"
"243","1","0.6","false","0.04","0","true","500","0.966"
"245","1","0.6","false","0.04","0","true","500","0.9684"
"246","1","0.6","false","0.04","0","true","500","0.9676"
"247","1","0.6","false","0.04","0","true","500","0.972"
"248","1","0.6","false","0.04","0","true","500","0.9668"
"244","1","0.6","false","0.04","0","true","500","0.9652"
"249","1","0.6","false","0.04","0","true","500","0.9684"
"251","1","0.6","false","0.05","0","true","500","0.9668"
"252","1","0.6","false","0.05","0","true","500","0.9668"
"253","1","0.6","false","0.05","0","true","500","0.9688"
"254","1","0.6","false","0.05","0","true","500","0.9688"
