"BehaviorSpace results (NetLogo 5.0.5)"
"extended_prisoners_dilemma.nlogo"
"experiment_stable_coexistence_variation_of_costs"
"12/14/2014 21:21:09:026 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","49","0","49"
"[run number]","benefit","initial_propD","play_pd","cost","baseline_fitness","play_spatial","[step]","count patches with [strategy_current = ""C""] / (count patches)"
"1","1","0.6","false","0","0","false","500","0.9972"
"3","1","0.6","false","0","0","false","500","0.998"
"4","1","0.6","false","0","0","false","500","0.9976"
"5","1","0.6","false","0","0","false","500","0.998"
"6","1","0.6","false","0","0","false","500","0.9976"
"7","1","0.6","false","0","0","false","500","0.998"
"2","1","0.6","false","0","0","false","500","0.9984"
"8","1","0.6","false","0","0","false","500","0.9984"
"10","1","0.6","false","0","0","false","500","0.9976"
"11","1","0.6","false","0","0","false","500","0.998"
"12","1","0.6","false","0","0","false","500","0.9984"
"13","1","0.6","false","0","0","false","500","0.9972"
"14","1","0.6","false","0","0","false","500","0.9988"
"9","1","0.6","false","0","0","false","500","0.9988"
"15","1","0.6","false","0","0","false","500","0.9992"
"17","1","0.6","false","0","0","false","500","0.9984"
"18","1","0.6","false","0","0","false","500","0.9976"
"19","1","0.6","false","0","0","false","500","0.9968"
"20","1","0.6","false","0","0","false","500","0.9984"
"21","1","0.6","false","0","0","false","500","0.998"
"16","1","0.6","false","0","0","false","500","0.9968"
"22","1","0.6","false","0","0","false","500","0.9988"
"24","1","0.6","false","0","0","false","500","0.9976"
"25","1","0.6","false","0","0","false","500","0.998"
"26","1","0.6","false","0","0","false","500","0.998"
"27","1","0.6","false","0","0","false","500","0.9976"
"28","1","0.6","false","0","0","false","500","0.9972"
"23","1","0.6","false","0","0","false","500","0.998"
"29","1","0.6","false","0","0","false","500","0.998"
"31","1","0.6","false","0","0","false","500","0.9984"
"32","1","0.6","false","0","0","false","500","0.9988"
"33","1","0.6","false","0","0","false","500","0.998"
"34","1","0.6","false","0","0","false","500","0.9984"
"35","1","0.6","false","0","0","false","500","0.9984"
"36","1","0.6","false","0","0","false","500","0.9988"
"30","1","0.6","false","0","0","false","500","0.9988"
"37","1","0.6","false","0","0","false","500","0.998"
"39","1","0.6","false","0","0","false","500","0.998"
"40","1","0.6","false","0","0","false","500","0.9984"
"41","1","0.6","false","0","0","false","500","0.9984"
"42","1","0.6","false","0","0","false","500","0.9988"
"43","1","0.6","false","0","0","false","500","0.9988"
"38","1","0.6","false","0","0","false","500","0.9984"
"44","1","0.6","false","0","0","false","500","0.9976"
"46","1","0.6","false","0","0","false","500","0.9988"
"47","1","0.6","false","0","0","false","500","0.9992"
"48","1","0.6","false","0","0","false","500","0.9976"
"49","1","0.6","false","0","0","false","500","0.9984"
"50","1","0.6","false","0","0","false","500","0.9972"
"45","1","0.6","false","0","0","false","500","0.9992"
"51","1","0.6","false","0.01","0","false","500","0.9952"
"53","1","0.6","false","0.01","0","false","500","0.994"
"54","1","0.6","false","0.01","0","false","500","0.9956"
"55","1","0.6","false","0.01","0","false","500","0.9908"
"56","1","0.6","false","0.01","0","false","500","0.9972"
"57","1","0.6","false","0.01","0","false","500","0.9948"
"52","1","0.6","false","0.01","0","false","500","0.9952"
"58","1","0.6","false","0.01","0","false","500","0.9952"
"60","1","0.6","false","0.01","0","false","500","0.996"
"61","1","0.6","false","0.01","0","false","500","0.994"
"62","1","0.6","false","0.01","0","false","500","0.9924"
"63","1","0.6","false","0.01","0","false","500","0.9924"
"64","1","0.6","false","0.01","0","false","500","0.9944"
"59","1","0.6","false","0.01","0","false","500","0.994"
"65","1","0.6","false","0.01","0","false","500","0.9952"
"67","1","0.6","false","0.01","0","false","500","0.9944"
"68","1","0.6","false","0.01","0","false","500","0.9964"
"69","1","0.6","false","0.01","0","false","500","0.9952"
"70","1","0.6","false","0.01","0","false","500","0.9968"
"71","1","0.6","false","0.01","0","false","500","0.9932"
"72","1","0.6","false","0.01","0","false","500","0.9952"
"66","1","0.6","false","0.01","0","false","500","0.9948"
"73","1","0.6","false","0.01","0","false","500","0.996"
"75","1","0.6","false","0.01","0","false","500","0.9948"
"76","1","0.6","false","0.01","0","false","500","0.9944"
"77","1","0.6","false","0.01","0","false","500","0.994"
"78","1","0.6","false","0.01","0","false","500","0.9948"
"79","1","0.6","false","0.01","0","false","500","0.9916"
"74","1","0.6","false","0.01","0","false","500","0.992"
"80","1","0.6","false","0.01","0","false","500","0.996"
"82","1","0.6","false","0.01","0","false","500","0.9924"
"83","1","0.6","false","0.01","0","false","500","0.9928"
"84","1","0.6","false","0.01","0","false","500","0.9948"
"85","1","0.6","false","0.01","0","false","500","0.9936"
"86","1","0.6","false","0.01","0","false","500","0.9952"
"81","1","0.6","false","0.01","0","false","500","0.9956"
"87","1","0.6","false","0.01","0","false","500","0.9944"
"89","1","0.6","false","0.01","0","false","500","0.9948"
"90","1","0.6","false","0.01","0","false","500","0.9928"
"91","1","0.6","false","0.01","0","false","500","0.996"
"92","1","0.6","false","0.01","0","false","500","0.9956"
"93","1","0.6","false","0.01","0","false","500","0.9936"
"88","1","0.6","false","0.01","0","false","500","0.9952"
"94","1","0.6","false","0.01","0","false","500","0.996"
"96","1","0.6","false","0.01","0","false","500","0.9948"
"97","1","0.6","false","0.01","0","false","500","0.9928"
"98","1","0.6","false","0.01","0","false","500","0.9952"
"99","1","0.6","false","0.01","0","false","500","0.996"
"100","1","0.6","false","0.01","0","false","500","0.9944"
"101","1","0.6","false","0.02","0","false","500","0.9916"
"95","1","0.6","false","0.01","0","false","500","0.9972"
"102","1","0.6","false","0.02","0","false","500","0.9916"
"104","1","0.6","false","0.02","0","false","500","0.9908"
"105","1","0.6","false","0.02","0","false","500","0.992"
"106","1","0.6","false","0.02","0","false","500","0.9888"
"107","1","0.6","false","0.02","0","false","500","0.9924"
"108","1","0.6","false","0.02","0","false","500","0.9892"
"103","1","0.6","false","0.02","0","false","500","0.9868"
"109","1","0.6","false","0.02","0","false","500","0.9904"
"111","1","0.6","false","0.02","0","false","500","0.9888"
"112","1","0.6","false","0.02","0","false","500","0.9876"
"113","1","0.6","false","0.02","0","false","500","0.9908"
"114","1","0.6","false","0.02","0","false","500","0.9876"
"115","1","0.6","false","0.02","0","false","500","0.9904"
"110","1","0.6","false","0.02","0","false","500","0.9924"
"116","1","0.6","false","0.02","0","false","500","0.9896"
"118","1","0.6","false","0.02","0","false","500","0.9908"
"119","1","0.6","false","0.02","0","false","500","0.9888"
"120","1","0.6","false","0.02","0","false","500","0.9912"
"121","1","0.6","false","0.02","0","false","500","0.9912"
"122","1","0.6","false","0.02","0","false","500","0.9908"
"117","1","0.6","false","0.02","0","false","500","0.9876"
"123","1","0.6","false","0.02","0","false","500","0.9904"
"125","1","0.6","false","0.02","0","false","500","0.9888"
"126","1","0.6","false","0.02","0","false","500","0.9904"
"127","1","0.6","false","0.02","0","false","500","0.9916"
"128","1","0.6","false","0.02","0","false","500","0.99"
"129","1","0.6","false","0.02","0","false","500","0.9876"
"130","1","0.6","false","0.02","0","false","500","0.9904"
"124","1","0.6","false","0.02","0","false","500","0.9904"
"131","1","0.6","false","0.02","0","false","500","0.9916"
"133","1","0.6","false","0.02","0","false","500","0.9912"
"134","1","0.6","false","0.02","0","false","500","0.9868"
"135","1","0.6","false","0.02","0","false","500","0.9884"
"136","1","0.6","false","0.02","0","false","500","0.9876"
"137","1","0.6","false","0.02","0","false","500","0.99"
"132","1","0.6","false","0.02","0","false","500","0.9912"
"138","1","0.6","false","0.02","0","false","500","0.9916"
"140","1","0.6","false","0.02","0","false","500","0.9872"
"141","1","0.6","false","0.02","0","false","500","0.9924"
"142","1","0.6","false","0.02","0","false","500","0.994"
"143","1","0.6","false","0.02","0","false","500","0.99"
"144","1","0.6","false","0.02","0","false","500","0.9908"
"139","1","0.6","false","0.02","0","false","500","0.9904"
"145","1","0.6","false","0.02","0","false","500","0.9908"
"147","1","0.6","false","0.02","0","false","500","0.9888"
"148","1","0.6","false","0.02","0","false","500","0.9904"
"149","1","0.6","false","0.02","0","false","500","0.9892"
"150","1","0.6","false","0.02","0","false","500","0.9908"
"151","1","0.6","false","0.03","0","false","500","0.9868"
"152","1","0.6","false","0.03","0","false","500","0.986"
"153","1","0.6","false","0.03","0","false","500","0.9856"
"154","1","0.6","false","0.03","0","false","500","0.9832"
"155","1","0.6","false","0.03","0","false","500","0.9872"
"146","1","0.6","false","0.02","0","false","500","0.9916"
"156","1","0.6","false","0.03","0","false","500","0.9824"
"158","1","0.6","false","0.03","0","false","500","0.988"
"159","1","0.6","false","0.03","0","false","500","0.9872"
"160","1","0.6","false","0.03","0","false","500","0.9848"
