"BehaviorSpace results (NetLogo 5.0.5)"
"extended_pd_mixed_strategy.nlogo"
"experiment_stable_coexistence_mixed_variation_of_costs"
"12/15/2014 13:43:12:862 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","49","0","49"
"[run number]","benefit","initial_propD","play_pd","cost","baseline_fitness","play_spatial","[step]","count patches with [strategy_current = ""C""] / (count patches)"
"2","1","0.6","false","0","0","false","500","0.268"
"1","1","0.6","false","0","0","false","500","0.2932"
"3","1","0.6","false","0","0","false","500","0.2544"
"4","1","0.6","false","0","0","false","500","0.2744"
"5","1","0.6","false","0","0","false","500","0.2756"
"6","1","0.6","false","0","0","false","500","0.274"
"7","1","0.6","false","0","0","false","500","0.2756"
"9","1","0.6","false","0","0","false","500","0.272"
"8","1","0.6","false","0","0","false","500","0.2724"
"10","1","0.6","false","0","0","false","500","0.278"
"11","1","0.6","false","0","0","false","500","0.2892"
"12","1","0.6","false","0","0","false","500","0.2784"
"13","1","0.6","false","0","0","false","500","0.2752"
"14","1","0.6","false","0","0","false","500","0.2824"
"15","1","0.6","false","0","0","false","500","0.2728"
"16","1","0.6","false","0","0","false","500","0.2764"
"17","1","0.6","false","0","0","false","500","0.2812"
"18","1","0.6","false","0","0","false","500","0.2912"
"19","1","0.6","false","0","0","false","500","0.2848"
"20","1","0.6","false","0","0","false","500","0.2664"
"21","1","0.6","false","0","0","false","500","0.2804"
"22","1","0.6","false","0","0","false","500","0.2856"
"23","1","0.6","false","0","0","false","500","0.276"
"24","1","0.6","false","0","0","false","500","0.2812"
"25","1","0.6","false","0","0","false","500","0.2712"
"26","1","0.6","false","0","0","false","500","0.2916"
"28","1","0.6","false","0","0","false","500","0.2608"
"27","1","0.6","false","0","0","false","500","0.28"
"29","1","0.6","false","0","0","false","500","0.2716"
"30","1","0.6","false","0","0","false","500","0.2724"
"31","1","0.6","false","0","0","false","500","0.2972"
"32","1","0.6","false","0","0","false","500","0.2736"
"33","1","0.6","false","0","0","false","500","0.2868"
"34","1","0.6","false","0","0","false","500","0.2712"
"35","1","0.6","false","0","0","false","500","0.2568"
"36","1","0.6","false","0","0","false","500","0.2804"
"37","1","0.6","false","0","0","false","500","0.2864"
"38","1","0.6","false","0","0","false","500","0.2744"
"39","1","0.6","false","0","0","false","500","0.2652"
"40","1","0.6","false","0","0","false","500","0.2916"
"41","1","0.6","false","0","0","false","500","0.2808"
"42","1","0.6","false","0","0","false","500","0.2828"
"43","1","0.6","false","0","0","false","500","0.2712"
"45","1","0.6","false","0","0","false","500","0.2816"
"44","1","0.6","false","0","0","false","500","0.2764"
"46","1","0.6","false","0","0","false","500","0.2816"
"47","1","0.6","false","0","0","false","500","0.2884"
"48","1","0.6","false","0","0","false","500","0.2924"
"49","1","0.6","false","0","0","false","500","0.2744"
"50","1","0.6","false","0","0","false","500","0.2904"
"51","1","0.6","false","0.01","0","false","500","0.284"
"52","1","0.6","false","0.01","0","false","500","0.2692"
"53","1","0.6","false","0.01","0","false","500","0.2648"
"54","1","0.6","false","0.01","0","false","500","0.2756"
"55","1","0.6","false","0.01","0","false","500","0.2916"
"56","1","0.6","false","0.01","0","false","500","0.2832"
"57","1","0.6","false","0.01","0","false","500","0.2596"
"58","1","0.6","false","0.01","0","false","500","0.2804"
"59","1","0.6","false","0.01","0","false","500","0.2608"
"60","1","0.6","false","0.01","0","false","500","0.282"
"61","1","0.6","false","0.01","0","false","500","0.2812"
"62","1","0.6","false","0.01","0","false","500","0.2804"
"64","1","0.6","false","0.01","0","false","500","0.2716"
"63","1","0.6","false","0.01","0","false","500","0.2776"
"65","1","0.6","false","0.01","0","false","500","0.2864"
"66","1","0.6","false","0.01","0","false","500","0.278"
"67","1","0.6","false","0.01","0","false","500","0.2532"
"68","1","0.6","false","0.01","0","false","500","0.2696"
"69","1","0.6","false","0.01","0","false","500","0.28"
"70","1","0.6","false","0.01","0","false","500","0.278"
"71","1","0.6","false","0.01","0","false","500","0.2644"
"72","1","0.6","false","0.01","0","false","500","0.2736"
"73","1","0.6","false","0.01","0","false","500","0.2708"
"74","1","0.6","false","0.01","0","false","500","0.272"
"75","1","0.6","false","0.01","0","false","500","0.2716"
"76","1","0.6","false","0.01","0","false","500","0.27"
"77","1","0.6","false","0.01","0","false","500","0.2812"
"78","1","0.6","false","0.01","0","false","500","0.284"
"79","1","0.6","false","0.01","0","false","500","0.2696"
"80","1","0.6","false","0.01","0","false","500","0.294"
"81","1","0.6","false","0.01","0","false","500","0.2732"
"83","1","0.6","false","0.01","0","false","500","0.272"
"82","1","0.6","false","0.01","0","false","500","0.2776"
"84","1","0.6","false","0.01","0","false","500","0.268"
"85","1","0.6","false","0.01","0","false","500","0.2868"
"86","1","0.6","false","0.01","0","false","500","0.2644"
"87","1","0.6","false","0.01","0","false","500","0.266"
"88","1","0.6","false","0.01","0","false","500","0.2864"
"89","1","0.6","false","0.01","0","false","500","0.2828"
"90","1","0.6","false","0.01","0","false","500","0.29"
"91","1","0.6","false","0.01","0","false","500","0.2844"
"92","1","0.6","false","0.01","0","false","500","0.28"
"93","1","0.6","false","0.01","0","false","500","0.2688"
"94","1","0.6","false","0.01","0","false","500","0.2736"
"95","1","0.6","false","0.01","0","false","500","0.2732"
"96","1","0.6","false","0.01","0","false","500","0.2772"
"97","1","0.6","false","0.01","0","false","500","0.2724"
"98","1","0.6","false","0.01","0","false","500","0.2724"
"99","1","0.6","false","0.01","0","false","500","0.2796"
"100","1","0.6","false","0.01","0","false","500","0.2852"
"102","1","0.6","false","0.02","0","false","500","0.2736"
"101","1","0.6","false","0.02","0","false","500","0.2696"
"103","1","0.6","false","0.02","0","false","500","0.278"
"104","1","0.6","false","0.02","0","false","500","0.284"
"105","1","0.6","false","0.02","0","false","500","0.2728"
"106","1","0.6","false","0.02","0","false","500","0.2592"
"107","1","0.6","false","0.02","0","false","500","0.28"
"108","1","0.6","false","0.02","0","false","500","0.2744"
"109","1","0.6","false","0.02","0","false","500","0.2844"
"110","1","0.6","false","0.02","0","false","500","0.2768"
"111","1","0.6","false","0.02","0","false","500","0.274"
"112","1","0.6","false","0.02","0","false","500","0.2668"
"113","1","0.6","false","0.02","0","false","500","0.2736"
"114","1","0.6","false","0.02","0","false","500","0.2728"
"115","1","0.6","false","0.02","0","false","500","0.2968"
"116","1","0.6","false","0.02","0","false","500","0.2792"
"117","1","0.6","false","0.02","0","false","500","0.2608"
"118","1","0.6","false","0.02","0","false","500","0.2784"
"119","1","0.6","false","0.02","0","false","500","0.2776"
"121","1","0.6","false","0.02","0","false","500","0.2672"
"120","1","0.6","false","0.02","0","false","500","0.2736"
"122","1","0.6","false","0.02","0","false","500","0.2812"
"123","1","0.6","false","0.02","0","false","500","0.284"
"124","1","0.6","false","0.02","0","false","500","0.264"
"125","1","0.6","false","0.02","0","false","500","0.2908"
"126","1","0.6","false","0.02","0","false","500","0.2716"
"127","1","0.6","false","0.02","0","false","500","0.2684"
"128","1","0.6","false","0.02","0","false","500","0.266"
"129","1","0.6","false","0.02","0","false","500","0.2808"
"130","1","0.6","false","0.02","0","false","500","0.2708"
"131","1","0.6","false","0.02","0","false","500","0.2828"
"132","1","0.6","false","0.02","0","false","500","0.2668"
"133","1","0.6","false","0.02","0","false","500","0.282"
"134","1","0.6","false","0.02","0","false","500","0.2788"
"135","1","0.6","false","0.02","0","false","500","0.2728"
"136","1","0.6","false","0.02","0","false","500","0.2668"
"138","1","0.6","false","0.02","0","false","500","0.27"
"137","1","0.6","false","0.02","0","false","500","0.2692"
"139","1","0.6","false","0.02","0","false","500","0.2832"
"140","1","0.6","false","0.02","0","false","500","0.29"
"141","1","0.6","false","0.02","0","false","500","0.2812"
"142","1","0.6","false","0.02","0","false","500","0.2844"
"143","1","0.6","false","0.02","0","false","500","0.2668"
"144","1","0.6","false","0.02","0","false","500","0.28"
"145","1","0.6","false","0.02","0","false","500","0.2808"
"146","1","0.6","false","0.02","0","false","500","0.2848"
"147","1","0.6","false","0.02","0","false","500","0.2724"
"148","1","0.6","false","0.02","0","false","500","0.282"
"149","1","0.6","false","0.02","0","false","500","0.2636"
"150","1","0.6","false","0.02","0","false","500","0.278"
"151","1","0.6","false","0.03","0","false","500","0.2888"
"152","1","0.6","false","0.03","0","false","500","0.2748"
"153","1","0.6","false","0.03","0","false","500","0.2664"
"155","1","0.6","false","0.03","0","false","500","0.2624"
"154","1","0.6","false","0.03","0","false","500","0.2916"
"156","1","0.6","false","0.03","0","false","500","0.2676"
"157","1","0.6","false","0.03","0","false","500","0.2676"
"158","1","0.6","false","0.03","0","false","500","0.2544"
"159","1","0.6","false","0.03","0","false","500","0.282"
"160","1","0.6","false","0.03","0","false","500","0.2796"
"161","1","0.6","false","0.03","0","false","500","0.2568"
"162","1","0.6","false","0.03","0","false","500","0.2892"
"163","1","0.6","false","0.03","0","false","500","0.2808"
"164","1","0.6","false","0.03","0","false","500","0.2704"
"165","1","0.6","false","0.03","0","false","500","0.2708"
"166","1","0.6","false","0.03","0","false","500","0.2804"
"167","1","0.6","false","0.03","0","false","500","0.2848"
"168","1","0.6","false","0.03","0","false","500","0.2816"
"169","1","0.6","false","0.03","0","false","500","0.2708"
"170","1","0.6","false","0.03","0","false","500","0.2752"
"171","1","0.6","false","0.03","0","false","500","0.2696"
"172","1","0.6","false","0.03","0","false","500","0.2584"
"174","1","0.6","false","0.03","0","false","500","0.2764"
"173","1","0.6","false","0.03","0","false","500","0.274"
"175","1","0.6","false","0.03","0","false","500","0.2872"
"176","1","0.6","false","0.03","0","false","500","0.2704"
"177","1","0.6","false","0.03","0","false","500","0.2712"
"178","1","0.6","false","0.03","0","false","500","0.2972"
"179","1","0.6","false","0.03","0","false","500","0.2808"
"180","1","0.6","false","0.03","0","false","500","0.2672"
"181","1","0.6","false","0.03","0","false","500","0.2716"
"182","1","0.6","false","0.03","0","false","500","0.2852"
"183","1","0.6","false","0.03","0","false","500","0.2796"
