"BehaviorSpace results (NetLogo 5.0.5)"
"extended_pd_mixed_strategy.nlogo"
"experiment_stable_coexistence_mixed_variation_of_costs"
"12/15/2014 16:30:21:783 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","49","0","49"
"[run number]","benefit","initial_propD","play_pd","cost","baseline_fitness","play_spatial","[step]","count patches with [strategy_current = ""C""] / (count patches)"
"2","1","0.6","false","0","0","true","500","0.2788"
"3","1","0.6","false","0","0","true","500","0.2816"
"1","1","0.6","false","0","0","true","500","0.2872"
"4","1","0.6","false","0","0","true","500","0.278"
"5","1","0.6","false","0","0","true","500","0.2844"
"6","1","0.6","false","0","0","true","500","0.2816"
"7","1","0.6","false","0","0","true","500","0.2848"
"8","1","0.6","false","0","0","true","500","0.2612"
"9","1","0.6","false","0","0","true","500","0.2644"
"10","1","0.6","false","0","0","true","500","0.2816"
"11","1","0.6","false","0","0","true","500","0.278"
"12","1","0.6","false","0","0","true","500","0.2668"
"13","1","0.6","false","0","0","true","500","0.2772"
"14","1","0.6","false","0","0","true","500","0.2716"
"15","1","0.6","false","0","0","true","500","0.2936"
"16","1","0.6","false","0","0","true","500","0.2884"
"17","1","0.6","false","0","0","true","500","0.2736"
"18","1","0.6","false","0","0","true","500","0.2892"
"19","1","0.6","false","0","0","true","500","0.252"
"20","1","0.6","false","0","0","true","500","0.2752"
"21","1","0.6","false","0","0","true","500","0.2624"
"22","1","0.6","false","0","0","true","500","0.2676"
"23","1","0.6","false","0","0","true","500","0.2772"
"24","1","0.6","false","0","0","true","500","0.2848"
"25","1","0.6","false","0","0","true","500","0.2676"
"26","1","0.6","false","0","0","true","500","0.28"
"27","1","0.6","false","0","0","true","500","0.2912"
"28","1","0.6","false","0","0","true","500","0.2744"
"29","1","0.6","false","0","0","true","500","0.2796"
"30","1","0.6","false","0","0","true","500","0.2756"
"31","1","0.6","false","0","0","true","500","0.2748"
"32","1","0.6","false","0","0","true","500","0.286"
"33","1","0.6","false","0","0","true","500","0.3012"
"34","1","0.6","false","0","0","true","500","0.284"
"35","1","0.6","false","0","0","true","500","0.2688"
"36","1","0.6","false","0","0","true","500","0.274"
"37","1","0.6","false","0","0","true","500","0.2812"
"38","1","0.6","false","0","0","true","500","0.2796"
"39","1","0.6","false","0","0","true","500","0.2736"
"40","1","0.6","false","0","0","true","500","0.2776"
"41","1","0.6","false","0","0","true","500","0.2684"
"42","1","0.6","false","0","0","true","500","0.2824"
"43","1","0.6","false","0","0","true","500","0.2632"
"44","1","0.6","false","0","0","true","500","0.2864"
"45","1","0.6","false","0","0","true","500","0.272"
"46","1","0.6","false","0","0","true","500","0.282"
"47","1","0.6","false","0","0","true","500","0.2608"
"48","1","0.6","false","0","0","true","500","0.2828"
"49","1","0.6","false","0","0","true","500","0.2872"
"50","1","0.6","false","0","0","true","500","0.2776"
"51","1","0.6","false","0.01","0","true","500","0.276"
"52","1","0.6","false","0.01","0","true","500","0.284"
"53","1","0.6","false","0.01","0","true","500","0.2832"
"54","1","0.6","false","0.01","0","true","500","0.2764"
"55","1","0.6","false","0.01","0","true","500","0.2672"
"56","1","0.6","false","0.01","0","true","500","0.2864"
"58","1","0.6","false","0.01","0","true","500","0.2712"
"57","1","0.6","false","0.01","0","true","500","0.264"
"59","1","0.6","false","0.01","0","true","500","0.2796"
