"BehaviorSpace results (NetLogo 5.1.0)"
"extended_prisoners_dilemma (1).nlogo"
"experiment_PD_spatial_cost_varying"
"12/17/2014 12:33:17:900 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","49","0","49"
"[run number]","benefit","initial_propD","play_pd","cost","baseline_fitness","play_spatial","[step]","count patches with [strategy_current = ""C""] / (count patches)"
"2","1","0.6","true","0","0","true","500","0.9192"
"4","1","0.6","true","0","0","true","500","0.9236"
"3","1","0.6","true","0","0","true","500","0.9168"
"5","1","0.6","true","0","0","true","500","0.9312"
"7","1","0.6","true","0","0","true","500","0.9224"
"6","1","0.6","true","0","0","true","500","0.92"
"8","1","0.6","true","0","0","true","500","0.9192"
"9","1","0.6","true","0","0","true","500","0.914"
"10","1","0.6","true","0","0","true","500","0.9088"
"11","1","0.6","true","0.01","0","true","500","0.8764"
"12","1","0.6","true","0.01","0","true","500","0.8936"
"13","1","0.6","true","0.01","0","true","500","0.8924"
"14","1","0.6","true","0.01","0","true","500","0.8832"
"15","1","0.6","true","0.01","0","true","500","0.8544"
"16","1","0.6","true","0.01","0","true","500","0.87"
"1","1","0.6","true","0","0","true","500","0.9104"
"17","1","0.6","true","0.01","0","true","500","0.888"
"18","1","0.6","true","0.01","0","true","500","0.868"
"19","1","0.6","true","0.01","0","true","500","0.8556"
"21","1","0.6","true","0.02","0","true","500","0.8548"
"22","1","0.6","true","0.02","0","true","500","0.8512"
"23","1","0.6","true","0.02","0","true","500","0.85"
"24","1","0.6","true","0.02","0","true","500","0.8412"
"25","1","0.6","true","0.02","0","true","500","0.8452"
"26","1","0.6","true","0.02","0","true","500","0.842"
"27","1","0.6","true","0.02","0","true","500","0.8464"
"28","1","0.6","true","0.02","0","true","500","0.82"
"29","1","0.6","true","0.02","0","true","500","0.8324"
"30","1","0.6","true","0.02","0","true","500","0.8508"
"31","1","0.6","true","0.03","0","true","500","0.8044"
"32","1","0.6","true","0.03","0","true","500","0.8124"
"33","1","0.6","true","0.03","0","true","500","0.7948"
"20","1","0.6","true","0.01","0","true","500","0.8812"
"34","1","0.6","true","0.03","0","true","500","0.8204"
"35","1","0.6","true","0.03","0","true","500","0.818"
"36","1","0.6","true","0.03","0","true","500","0.8208"
"38","1","0.6","true","0.03","0","true","500","0.8236"
"39","1","0.6","true","0.03","0","true","500","0.8132"
"40","1","0.6","true","0.03","0","true","500","0.8176"
"41","1","0.6","true","0.04","0","true","500","0.774"
"43","1","0.6","true","0.04","0","true","500","0.7648"
"42","1","0.6","true","0.04","0","true","500","0.7756"
"44","1","0.6","true","0.04","0","true","500","0.776"
"45","1","0.6","true","0.04","0","true","500","0.758"
"46","1","0.6","true","0.04","0","true","500","0.7908"
"48","1","0.6","true","0.04","0","true","500","0.7792"
"47","1","0.6","true","0.04","0","true","500","0.7836"
"49","1","0.6","true","0.04","0","true","500","0.776"
"50","1","0.6","true","0.04","0","true","500","0.768"
"37","1","0.6","true","0.03","0","true","500","0.8064"
"51","1","0.6","true","0.05","0","true","500","0.7284"
"52","1","0.6","true","0.05","0","true","500","0.69"
"53","1","0.6","true","0.05","0","true","500","0.75"
"55","1","0.6","true","0.05","0","true","500","0.7172"
"56","1","0.6","true","0.05","0","true","500","0.7568"
"57","1","0.6","true","0.05","0","true","500","0.7564"
"58","1","0.6","true","0.05","0","true","500","0.7332"
"59","1","0.6","true","0.05","0","true","500","0.7404"
"60","1","0.6","true","0.05","0","true","500","0.7428"
"61","1","0.6","true","0.06","0","true","500","0.6972"
"62","1","0.6","true","0.06","0","true","500","0.6848"
"63","1","0.6","true","0.06","0","true","500","0.7128"
"64","1","0.6","true","0.06","0","true","500","0.7048"
"65","1","0.6","true","0.06","0","true","500","0.6916"
"66","1","0.6","true","0.06","0","true","500","0.7204"
"67","1","0.6","true","0.06","0","true","500","0.6888"
"68","1","0.6","true","0.06","0","true","500","0.7128"
"54","1","0.6","true","0.05","0","true","500","0.728"
"69","1","0.6","true","0.06","0","true","500","0.7264"
"70","1","0.6","true","0.06","0","true","500","0.6848"
"71","1","0.6","true","0.07","0","true","500","0.6564"
"73","1","0.6","true","0.07","0","true","500","0.6332"
"74","1","0.6","true","0.07","0","true","500","0.6044"
"75","1","0.6","true","0.07","0","true","500","0.6288"
"76","1","0.6","true","0.07","0","true","500","0.6956"
"77","1","0.6","true","0.07","0","true","500","0.6684"
"78","1","0.6","true","0.07","0","true","500","0.5848"
"79","1","0.6","true","0.07","0","true","500","0.6268"
"80","1","0.6","true","0.07","0","true","500","0.6784"
"81","1","0.6","true","0.08","0","true","500","0.4952"
"82","1","0.6","true","0.08","0","true","500","0.5176"
"83","1","0.6","true","0.08","0","true","500","0.5912"
"85","1","0.6","true","0.08","0","true","500","0.6452"
"84","1","0.6","true","0.08","0","true","500","0.5024"
"72","1","0.6","true","0.07","0","true","500","0.6692"
"86","1","0.6","true","0.08","0","true","500","0.56"
"87","1","0.6","true","0.08","0","true","500","0.5252"
"88","1","0.6","true","0.08","0","true","500","0.54"
"90","1","0.6","true","0.08","0","true","500","0.5524"
"91","1","0.6","true","0.09","0","true","500","0.5992"
"92","1","0.6","true","0.09","0","true","500","0.446"
"94","1","0.6","true","0.09","0","true","500","0.3864"
"93","1","0.6","true","0.09","0","true","500","0.4148"
"95","1","0.6","true","0.09","0","true","500","0.4924"
"96","1","0.6","true","0.09","0","true","500","0.4064"
