"BehaviorSpace results (NetLogo 5.0.5)"
"extended_prisoners_dilemma.nlogo"
"experiment_instable_coexistence"
"12/14/2014 11:22:50:677 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","49","0","49"
"[run number]","benefit","initial_propD","play_pd","cost","baseline_fitness","play_spatial","[step]","count patches with [strategy_current = ""C""] / (count patches)"
"2","1","0.5","false","1.5","0","true","10","0"
"3","1","0.5","false","1.5","0","true","10","0"
"4","1","0.5","false","1.5","0","true","11","0"
"1","1","0.5","false","1.5","0","true","11","0"
"5","1","0.5","false","1.5","0","true","10","0"
"7","1","0.5","false","1.5","0","true","19","0"
"8","1","0.5","false","1.5","0","true","14","0"
"9","1","0.5","false","1.5","0","true","12","0"
"10","1","0.5","false","1.5","0","true","10","0"
"6","1","0.5","false","1.5","0","true","11","0"
"11","1","0.5","false","1.5","0","true","11","0"
"13","1","0.5","false","1.5","0","true","11","0"
"14","1","0.5","false","1.5","0","true","11","0"
"15","1","0.5","false","1.5","0","true","10","0"
"16","1","0.5","false","1.5","0","true","13","0"
"12","1","0.5","false","1.5","0","true","12","0"
"17","1","0.5","false","1.5","0","true","11","0"
"19","1","0.5","false","1.5","0","true","13","0"
"20","1","0.5","false","1.5","0","true","15","0"
"21","1","0.5","false","1.5","0","true","12","0"
"18","1","0.5","false","1.5","0","true","11","0"
"22","1","0.5","false","1.5","0","true","13","0"
"24","1","0.5","false","1.5","0","true","9","0"
"25","1","0.5","false","1.5","0","true","12","0"
"26","1","0.5","false","1.5","0","true","13","0"
"27","1","0.5","false","1.5","0","true","10","0"
"28","1","0.5","false","1.5","0","true","9","0"
"23","1","0.5","false","1.5","0","true","10","0"
"29","1","0.5","false","1.5","0","true","11","0"
"31","1","0.5","false","1.5","0","true","10","0"
"32","1","0.5","false","1.5","0","true","12","0"
"33","1","0.5","false","1.5","0","true","11","0"
"34","1","0.5","false","1.5","0","true","10","0"
"30","1","0.5","false","1.5","0","true","10","0"
"35","1","0.5","false","1.5","0","true","12","0"
"37","1","0.5","false","1.5","0","true","11","0"
"38","1","0.5","false","1.5","0","true","10","0"
"39","1","0.5","false","1.5","0","true","12","0"
"40","1","0.5","false","1.5","0","true","10","0"
"36","1","0.5","false","1.5","0","true","13","0"
"41","1","0.5","false","1.5","0","true","13","0"
"43","1","0.5","false","1.5","0","true","10","0"
"44","1","0.5","false","1.5","0","true","13","0"
"45","1","0.5","false","1.5","0","true","13","0"
"42","1","0.5","false","1.5","0","true","11","0"
"46","1","0.5","false","1.5","0","true","12","0"
"48","1","0.5","false","1.5","0","true","14","0"
"49","1","0.5","false","1.5","0","true","12","0"
"50","1","0.5","false","1.5","0","true","15","0"
"47","1","0.5","false","1.5","0","true","12","0"
