"run","benefit","initial_propD","play_pd","cost","baseline_fitness","play_spatial","step","propC_end"
"2","1","0.5","false","0.75","0","true","500","0.2448"
"1","1","0.5","false","0.75","0","true","500","0.2456"
"3","1","0.5","false","0.75","0","true","500","0.2424"
"4","1","0.5","false","0.75","0","true","500","0.2468"
"5","1","0.5","false","0.75","0","true","500","0.2552"
"7","1","0.5","false","0.75","0","true","500","0.2476"
"6","1","0.5","false","0.75","0","true","500","0.2572"
"8","1","0.5","false","0.75","0","true","500","0.2464"
"9","1","0.5","false","0.75","0","true","500","0.2488"
"10","1","0.5","false","0.75","0","true","500","0.246"
"11","1","0.5","false","0.75","0","true","500","0.254"
"12","1","0.5","false","0.75","0","true","500","0.2452"
"13","1","0.5","false","0.75","0","true","500","0.2444"
"14","1","0.5","false","0.75","0","true","500","0.2436"
"15","1","0.5","false","0.75","0","true","500","0.258"
"16","1","0.5","false","0.75","0","true","500","0.2448"
"17","1","0.5","false","0.75","0","true","500","0.252"
"18","1","0.5","false","0.75","0","true","500","0.2476"
"20","1","0.5","false","0.75","0","true","500","0.246"
"19","1","0.5","false","0.75","0","true","500","0.2468"
"21","1","0.5","false","0.75","0","true","500","0.2476"
"22","1","0.5","false","0.75","0","true","500","0.2472"
"23","1","0.5","false","0.75","0","true","500","0.2496"
"24","1","0.5","false","0.75","0","true","500","0.2504"
"25","1","0.5","false","0.75","0","true","500","0.2508"
"26","1","0.5","false","0.75","0","true","500","0.2488"
"27","1","0.5","false","0.75","0","true","500","0.2428"
"28","1","0.5","false","0.75","0","true","500","0.2336"
"29","1","0.5","false","0.75","0","true","500","0.25"
"30","1","0.5","false","0.75","0","true","500","0.2532"
"31","1","0.5","false","0.75","0","true","500","0.246"
"33","1","0.5","false","0.75","0","true","500","0.242"
"32","1","0.5","false","0.75","0","true","500","0.2476"
"34","1","0.5","false","0.75","0","true","500","0.2512"
"35","1","0.5","false","0.75","0","true","500","0.2544"
"36","1","0.5","false","0.75","0","true","500","0.2432"
"37","1","0.5","false","0.75","0","true","500","0.2564"
"38","1","0.5","false","0.75","0","true","500","0.236"
"39","1","0.5","false","0.75","0","true","500","0.2488"
"40","1","0.5","false","0.75","0","true","500","0.2448"
"41","1","0.5","false","0.75","0","true","500","0.2512"
"42","1","0.5","false","0.75","0","true","500","0.254"
"44","1","0.5","false","0.75","0","true","500","0.2456"
"43","1","0.5","false","0.75","0","true","500","0.2612"
"45","1","0.5","false","0.75","0","true","500","0.252"
"46","1","0.5","false","0.75","0","true","500","0.2396"
"47","1","0.5","false","0.75","0","true","500","0.252"
"48","1","0.5","false","0.75","0","true","500","0.2404"
"49","1","0.5","false","0.75","0","true","500","0.25"
"50","1","0.5","false","0.75","0","true","500","0.252"
