"run","benefit","initial_propD","play_pd","cost","baseline_fitness","play_spatial","step","propC_end"
"2","1","0.6","false","0.75","0","true","500","0.2496"
"1","1","0.6","false","0.75","0","true","500","0.2408"
"3","1","0.6","false","0.75","0","true","500","0.2544"
"4","1","0.6","false","0.75","0","true","500","0.2544"
"5","1","0.6","false","0.75","0","true","500","0.244"
"7","1","0.6","false","0.75","0","true","500","0.248"
"6","1","0.6","false","0.75","0","true","500","0.2496"
"8","1","0.6","false","0.75","0","true","500","0.2368"
"9","1","0.6","false","0.75","0","true","500","0.2496"
"10","1","0.6","false","0.75","0","true","500","0.2552"
"11","1","0.6","false","0.75","0","true","500","0.2412"
"12","1","0.6","false","0.75","0","true","500","0.2488"
"13","1","0.6","false","0.75","0","true","500","0.2416"
"14","1","0.6","false","0.75","0","true","500","0.2508"
"16","1","0.6","false","0.75","0","true","500","0.258"
"15","1","0.6","false","0.75","0","true","500","0.2512"
"17","1","0.6","false","0.75","0","true","500","0.26"
"18","1","0.6","false","0.75","0","true","500","0.2456"
"19","1","0.6","false","0.75","0","true","500","0.2424"
"20","1","0.6","false","0.75","0","true","500","0.2416"
"21","1","0.6","false","0.75","0","true","500","0.24"
"22","1","0.6","false","0.75","0","true","500","0.2532"
"23","1","0.6","false","0.75","0","true","500","0.248"
"25","1","0.6","false","0.75","0","true","500","0.2472"
"24","1","0.6","false","0.75","0","true","500","0.258"
"26","1","0.6","false","0.75","0","true","500","0.2532"
"27","1","0.6","false","0.75","0","true","500","0.2476"
"28","1","0.6","false","0.75","0","true","500","0.24"
"29","1","0.6","false","0.75","0","true","500","0.246"
"30","1","0.6","false","0.75","0","true","500","0.2436"
"31","1","0.6","false","0.75","0","true","500","0.2428"
"32","1","0.6","false","0.75","0","true","500","0.2496"
"34","1","0.6","false","0.75","0","true","500","0.2444"
"33","1","0.6","false","0.75","0","true","500","0.2452"
"35","1","0.6","false","0.75","0","true","500","0.244"
"36","1","0.6","false","0.75","0","true","500","0.244"
"37","1","0.6","false","0.75","0","true","500","0.2564"
"38","1","0.6","false","0.75","0","true","500","0.2492"
"39","1","0.6","false","0.75","0","true","500","0.2496"
"40","1","0.6","false","0.75","0","true","500","0.2472"
"41","1","0.6","false","0.75","0","true","500","0.2488"
"42","1","0.6","false","0.75","0","true","500","0.234"
"43","1","0.6","false","0.75","0","true","500","0.2364"
"45","1","0.6","false","0.75","0","true","500","0.248"
"44","1","0.6","false","0.75","0","true","500","0.2532"
"46","1","0.6","false","0.75","0","true","500","0.2516"
"47","1","0.6","false","0.75","0","true","500","0.2576"
"48","1","0.6","false","0.75","0","true","500","0.2492"
"49","1","0.6","false","0.75","0","true","500","0.2384"
"50","1","0.6","false","0.75","0","true","500","0.248"
