"x","C","color","p1","x","D","color","p2"
"0","0.7072","105","true","0","0.2928","15","true"
"1","0.7052","105","true","1","0.2948","15","true"
"2","0.7064","105","true","2","0.2936","15","true"
"3","0.7012","105","true","3","0.2988","15","true"
"4","0.6876","105","true","4","0.3124","15","true"
"5","0.692","105","true","5","0.308","15","true"
"6","0.72","105","true","6","0.28","15","true"
"7","0.7024","105","true","7","0.2976","15","true"
"8","0.6944","105","true","8","0.3056","15","true"
"9","0.6892","105","true","9","0.3108","15","true"
"10","0.7004","105","true","10","0.2996","15","true"
"11","0.7036","105","true","11","0.2964","15","true"
"12","0.6848","105","true","12","0.3152","15","true"
"13","0.7032","105","true","13","0.2968","15","true"
"14","0.7024","105","true","14","0.2976","15","true"
"15","0.6988","105","true","15","0.3012","15","true"
"16","0.7124","105","true","16","0.2876","15","true"
"17","0.6788","105","true","17","0.3212","15","true"
"18","0.7104","105","true","18","0.2896","15","true"
"19","0.708","105","true","19","0.292","15","true"
"20","0.7024","105","true","20","0.2976","15","true"
"21","0.6916","105","true","21","0.3084","15","true"
"22","0.7064","105","true","22","0.2936","15","true"
"23","0.7024","105","true","23","0.2976","15","true"
"24","0.7104","105","true","24","0.2896","15","true"
"25","0.6908","105","true","25","0.3092","15","true"
"26","0.7032","105","true","26","0.2968","15","true"
"27","0.6996","105","true","27","0.3004","15","true"
"28","0.7","105","true","28","0.3","15","true"
"29","0.6812","105","true","29","0.3188","15","true"
"30","0.698","105","true","30","0.302","15","true"
"31","0.7028","105","true","31","0.2972","15","true"
"32","0.7116","105","true","32","0.2884","15","true"
"33","0.7136","105","true","33","0.2864","15","true"
"34","0.7112","105","true","34","0.2888","15","true"
"35","0.6912","105","true","35","0.3088","15","true"
"36","0.7156","105","true","36","0.2844","15","true"
"37","0.6976","105","true","37","0.3024","15","true"
"38","0.7","105","true","38","0.3","15","true"
"39","0.69","105","true","39","0.31","15","true"
"40","0.7056","105","true","40","0.2944","15","true"
"41","0.7004","105","true","41","0.2996","15","true"
"42","0.6924","105","true","42","0.3076","15","true"
"43","0.7052","105","true","43","0.2948","15","true"
"44","0.7068","105","true","44","0.2932","15","true"
"45","0.6984","105","true","45","0.3016","15","true"
"46","0.708","105","true","46","0.292","15","true"
"47","0.7052","105","true","47","0.2948","15","true"
"48","0.7048","105","true","48","0.2952","15","true"
"49","0.6968","105","true","49","0.3032","15","true"
"50","0.7064","105","true","50","0.2936","15","true"
"51","0.6996","105","true","51","0.3004","15","true"
"52","0.7016","105","true","52","0.2984","15","true"
"53","0.692","105","true","53","0.308","15","true"
"54","0.6908","105","true","54","0.3092","15","true"
"55","0.7","105","true","55","0.3","15","true"
"56","0.7044","105","true","56","0.2956","15","true"
"57","0.6776","105","true","57","0.3224","15","true"
"58","0.7036","105","true","58","0.2964","15","true"
"59","0.6996","105","true","59","0.3004","15","true"
"60","0.6956","105","true","60","0.3044","15","true"
"61","0.6992","105","true","61","0.3008","15","true"
"62","0.6944","105","true","62","0.3056","15","true"
"63","0.686","105","true","63","0.314","15","true"
"64","0.6856","105","true","64","0.3144","15","true"
"65","0.7152","105","true","65","0.2848","15","true"
"66","0.7076","105","true","66","0.2924","15","true"
"67","0.7","105","true","67","0.3","15","true"
"68","0.7136","105","true","68","0.2864","15","true"
"69","0.6852","105","true","69","0.3148","15","true"
"70","0.7088","105","true","70","0.2912","15","true"
"71","0.6976","105","true","71","0.3024","15","true"
"72","0.6972","105","true","72","0.3028","15","true"
"73","0.6872","105","true","73","0.3128","15","true"
"74","0.7","105","true","74","0.3","15","true"
"75","0.7","105","true","75","0.3","15","true"
"76","0.7004","105","true","76","0.2996","15","true"
"77","0.6992","105","true","77","0.3008","15","true"
"78","0.6972","105","true","78","0.3028","15","true"
"79","0.694","105","true","79","0.306","15","true"
"80","0.7024","105","true","80","0.2976","15","true"
"81","0.6992","105","true","81","0.3008","15","true"
"82","0.6972","105","true","82","0.3028","15","true"
"83","0.6804","105","true","83","0.3196","15","true"
"84","0.7024","105","true","84","0.2976","15","true"
"85","0.706","105","true","85","0.294","15","true"
"86","0.682","105","true","86","0.318","15","true"
"87","0.6976","105","true","87","0.3024","15","true"
"88","0.7064","105","true","88","0.2936","15","true"
"89","0.7008","105","true","89","0.2992","15","true"
"90","0.704","105","true","90","0.296","15","true"
"91","0.6876","105","true","91","0.3124","15","true"
"92","0.69","105","true","92","0.31","15","true"
"93","0.7028","105","true","93","0.2972","15","true"
"94","0.706","105","true","94","0.294","15","true"
"95","0.7036","105","true","95","0.2964","15","true"
"96","0.6944","105","true","96","0.3056","15","true"
"97","0.694","105","true","97","0.306","15","true"
"98","0.6972","105","true","98","0.3028","15","true"
"99","0.706","105","true","99","0.294","15","true"
"100","0.6984","105","true","100","0.3016","15","true"
"101","0.6948","105","true","101","0.3052","15","true"
"102","0.6888","105","true","102","0.3112","15","true"
"103","0.6912","105","true","103","0.3088","15","true"
"104","0.694","105","true","104","0.306","15","true"
"105","0.698","105","true","105","0.302","15","true"
"106","0.7072","105","true","106","0.2928","15","true"
"107","0.7044","105","true","107","0.2956","15","true"
"108","0.6996","105","true","108","0.3004","15","true"
"109","0.692","105","true","109","0.308","15","true"
"110","0.7056","105","true","110","0.2944","15","true"
"111","0.7096","105","true","111","0.2904","15","true"
"112","0.7124","105","true","112","0.2876","15","true"
"113","0.7084","105","true","113","0.2916","15","true"
"114","0.7048","105","true","114","0.2952","15","true"
"115","0.7064","105","true","115","0.2936","15","true"
"116","0.6928","105","true","116","0.3072","15","true"
"117","0.6952","105","true","117","0.3048","15","true"
"118","0.702","105","true","118","0.298","15","true"
"119","0.7036","105","true","119","0.2964","15","true"
"120","0.6976","105","true","120","0.3024","15","true"
"121","0.6976","105","true","121","0.3024","15","true"
"122","0.6984","105","true","122","0.3016","15","true"
"123","0.7016","105","true","123","0.2984","15","true"
"124","0.6836","105","true","124","0.3164","15","true"
"125","0.6892","105","true","125","0.3108","15","true"
"126","0.6936","105","true","126","0.3064","15","true"
"127","0.6924","105","true","127","0.3076","15","true"
"128","0.676","105","true","128","0.324","15","true"
"129","0.6988","105","true","129","0.3012","15","true"
"130","0.698","105","true","130","0.302","15","true"
"131","0.7108","105","true","131","0.2892","15","true"
"132","0.6964","105","true","132","0.3036","15","true"
"133","0.7224","105","true","133","0.2776","15","true"
"134","0.7088","105","true","134","0.2912","15","true"
"135","0.6904","105","true","135","0.3096","15","true"
"136","0.7028","105","true","136","0.2972","15","true"
"137","0.6972","105","true","137","0.3028","15","true"
"138","0.7068","105","true","138","0.2932","15","true"
"139","0.6924","105","true","139","0.3076","15","true"
"140","0.7012","105","true","140","0.2988","15","true"
"141","0.712","105","true","141","0.288","15","true"
"142","0.6956","105","true","142","0.3044","15","true"
"143","0.6848","105","true","143","0.3152","15","true"
"144","0.6972","105","true","144","0.3028","15","true"
"145","0.7004","105","true","145","0.2996","15","true"
"146","0.6772","105","true","146","0.3228","15","true"
"147","0.6948","105","true","147","0.3052","15","true"
"148","0.7124","105","true","148","0.2876","15","true"
"149","0.7148","105","true","149","0.2852","15","true"
"150","0.7072","105","true","150","0.2928","15","true"
"151","0.694","105","true","151","0.306","15","true"
"152","0.7064","105","true","152","0.2936","15","true"
"153","0.6956","105","true","153","0.3044","15","true"
"154","0.6952","105","true","154","0.3048","15","true"
"155","0.7056","105","true","155","0.2944","15","true"
"156","0.7188","105","true","156","0.2812","15","true"
"157","0.6984","105","true","157","0.3016","15","true"
"158","0.6944","105","true","158","0.3056","15","true"
"159","0.6944","105","true","159","0.3056","15","true"
"160","0.6892","105","true","160","0.3108","15","true"
"161","0.708","105","true","161","0.292","15","true"
"162","0.7092","105","true","162","0.2908","15","true"
"163","0.7004","105","true","163","0.2996","15","true"
"164","0.7008","105","true","164","0.2992","15","true"
"165","0.6992","105","true","165","0.3008","15","true"
"166","0.6908","105","true","166","0.3092","15","true"
"167","0.7112","105","true","167","0.2888","15","true"
"168","0.7168","105","true","168","0.2832","15","true"
"169","0.69","105","true","169","0.31","15","true"
"170","0.69","105","true","170","0.31","15","true"
"171","0.7016","105","true","171","0.2984","15","true"
"172","0.7096","105","true","172","0.2904","15","true"
"173","0.71","105","true","173","0.29","15","true"
"174","0.6952","105","true","174","0.3048","15","true"
"175","0.6808","105","true","175","0.3192","15","true"
"176","0.696","105","true","176","0.304","15","true"
"177","0.7024","105","true","177","0.2976","15","true"
"178","0.6856","105","true","178","0.3144","15","true"
"179","0.7036","105","true","179","0.2964","15","true"
"180","0.6916","105","true","180","0.3084","15","true"
"181","0.706","105","true","181","0.294","15","true"
"182","0.704","105","true","182","0.296","15","true"
"183","0.6872","105","true","183","0.3128","15","true"
"184","0.6912","105","true","184","0.3088","15","true"
"185","0.6984","105","true","185","0.3016","15","true"
"186","0.6804","105","true","186","0.3196","15","true"
"187","0.7052","105","true","187","0.2948","15","true"
"188","0.698","105","true","188","0.302","15","true"
"189","0.688","105","true","189","0.312","15","true"
"190","0.7184","105","true","190","0.2816","15","true"
"191","0.6912","105","true","191","0.3088","15","true"
"192","0.688","105","true","192","0.312","15","true"
"193","0.68","105","true","193","0.32","15","true"
"194","0.7016","105","true","194","0.2984","15","true"
"195","0.6964","105","true","195","0.3036","15","true"
"196","0.704","105","true","196","0.296","15","true"
"197","0.6968","105","true","197","0.3032","15","true"
"198","0.7264","105","true","198","0.2736","15","true"
"199","0.706","105","true","199","0.294","15","true"
"200","0.6964","105","true","200","0.3036","15","true"
"201","0.6856","105","true","201","0.3144","15","true"
"202","0.7104","105","true","202","0.2896","15","true"
"203","0.7108","105","true","203","0.2892","15","true"
"204","0.6892","105","true","204","0.3108","15","true"
"205","0.7084","105","true","205","0.2916","15","true"
"206","0.7056","105","true","206","0.2944","15","true"
"207","0.6852","105","true","207","0.3148","15","true"
"208","0.6964","105","true","208","0.3036","15","true"
"209","0.704","105","true","209","0.296","15","true"
"210","0.696","105","true","210","0.304","15","true"
"211","0.6988","105","true","211","0.3012","15","true"
"212","0.7008","105","true","212","0.2992","15","true"
"213","0.6964","105","true","213","0.3036","15","true"
"214","0.7024","105","true","214","0.2976","15","true"
"215","0.6904","105","true","215","0.3096","15","true"
"216","0.7064","105","true","216","0.2936","15","true"
"217","0.7016","105","true","217","0.2984","15","true"
"218","0.6912","105","true","218","0.3088","15","true"
"219","0.6848","105","true","219","0.3152","15","true"
"220","0.688","105","true","220","0.312","15","true"
"221","0.6892","105","true","221","0.3108","15","true"
