"BehaviorSpace results (NetLogo 5.1.0)"
"task2.nlogo"
"PDneighborhood"
"12/20/2014 16:08:58:976 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","49","0","49"
"[run number]","game","cost","initial_propD","benefit","baseline_fitness","neighborhood","play_spatial","[step]","count patches with [strategy_current = ""C""] / count patches"
"4","""PD""","0","0.01","1","0","""von neumann_r=1""","true","1000","0.942"
"1","""PD""","0","0.01","1","0","""moore_r=1""","true","1000","0.9808"
"3","""PD""","0","0.01","1","0","""moore_r=1""","true","1000","0.98"
"2","""PD""","0","0.01","1","0","""moore_r=1""","true","1000","0.9784"
"5","""PD""","0","0.01","1","0","""von neumann_r=1""","true","1000","0.9568"
"6","""PD""","0","0.01","1","0","""von neumann_r=1""","true","1000","0.9364"
"10","""PD""","0.01","0.01","1","0","""moore_r=1""","true","1000","0.9788"
"11","""PD""","0.01","0.01","1","0","""moore_r=1""","true","1000","0.9736"
"12","""PD""","0.01","0.01","1","0","""moore_r=1""","true","1000","0.9608"
"13","""PD""","0.01","0.01","1","0","""von neumann_r=1""","true","1000","0.7916"
"14","""PD""","0.01","0.01","1","0","""von neumann_r=1""","true","1000","0.7788"
"15","""PD""","0.01","0.01","1","0","""von neumann_r=1""","true","1000","0.7544"
"7","""PD""","0","0.01","1","0","""moore_r=3""","true","1000","0.99"
"8","""PD""","0","0.01","1","0","""moore_r=3""","true","1000","0.98"
"9","""PD""","0","0.01","1","0","""moore_r=3""","true","1000","0.9768"
"19","""PD""","0.02","0.01","1","0","""moore_r=1""","true","1000","0.9564"
"20","""PD""","0.02","0.01","1","0","""moore_r=1""","true","1000","0.94"
"21","""PD""","0.02","0.01","1","0","""moore_r=1""","true","1000","0.952"
"22","""PD""","0.02","0.01","1","0","""von neumann_r=1""","true","1000","0.762"
"23","""PD""","0.02","0.01","1","0","""von neumann_r=1""","true","1000","0.6756"
"24","""PD""","0.02","0.01","1","0","""von neumann_r=1""","true","1000","0.6732"
"16","""PD""","0.01","0.01","1","0","""moore_r=3""","true","1000","0.962"
"17","""PD""","0.01","0.01","1","0","""moore_r=3""","true","1000","0.9728"
"18","""PD""","0.01","0.01","1","0","""moore_r=3""","true","1000","0.966"
"28","""PD""","0.03","0.01","1","0","""moore_r=1""","true","1000","0.9288"
"29","""PD""","0.03","0.01","1","0","""moore_r=1""","true","1000","0.956"
"30","""PD""","0.03","0.01","1","0","""moore_r=1""","true","1000","0.9352"
"31","""PD""","0.03","0.01","1","0","""von neumann_r=1""","true","1000","0.5928"
"25","""PD""","0.02","0.01","1","0","""moore_r=3""","true","1000","0.9664"
"32","""PD""","0.03","0.01","1","0","""von neumann_r=1""","true","1000","0.6392"
"33","""PD""","0.03","0.01","1","0","""von neumann_r=1""","true","1000","0.6208"
"26","""PD""","0.02","0.01","1","0","""moore_r=3""","true","1000","0.9632"
"27","""PD""","0.02","0.01","1","0","""moore_r=3""","true","1000","0.9604"
"37","""PD""","0.04","0.01","1","0","""moore_r=1""","true","1000","0.922"
"38","""PD""","0.04","0.01","1","0","""moore_r=1""","true","1000","0.9044"
"39","""PD""","0.04","0.01","1","0","""moore_r=1""","true","1000","0.8924"
"40","""PD""","0.04","0.01","1","0","""von neumann_r=1""","true","1000","0.5584"
"41","""PD""","0.04","0.01","1","0","""von neumann_r=1""","true","1000","0.5128"
"42","""PD""","0.04","0.01","1","0","""von neumann_r=1""","true","1000","0.562"
"35","""PD""","0.03","0.01","1","0","""moore_r=3""","true","1000","0.9172"
"34","""PD""","0.03","0.01","1","0","""moore_r=3""","true","1000","0.9456"
"36","""PD""","0.03","0.01","1","0","""moore_r=3""","true","1000","0.9392"
"46","""PD""","0.05","0.01","1","0","""moore_r=1""","true","1000","0.9204"
"47","""PD""","0.05","0.01","1","0","""moore_r=1""","true","1000","0.8788"
"48","""PD""","0.05","0.01","1","0","""moore_r=1""","true","1000","0.8744"
"49","""PD""","0.05","0.01","1","0","""von neumann_r=1""","true","1000","0.432"
"50","""PD""","0.05","0.01","1","0","""von neumann_r=1""","true","1000","0.468"
"51","""PD""","0.05","0.01","1","0","""von neumann_r=1""","true","1000","0.4372"
"43","""PD""","0.04","0.01","1","0","""moore_r=3""","true","1000","0.9256"
"44","""PD""","0.04","0.01","1","0","""moore_r=3""","true","1000","0.9124"
"45","""PD""","0.04","0.01","1","0","""moore_r=3""","true","1000","0.9372"
"55","""PD""","0.06","0.01","1","0","""moore_r=1""","true","1000","0.8528"
"56","""PD""","0.06","0.01","1","0","""moore_r=1""","true","1000","0.8492"
"57","""PD""","0.06","0.01","1","0","""moore_r=1""","true","1000","0.8588"
"58","""PD""","0.06","0.01","1","0","""von neumann_r=1""","true","1000","0.3984"
"52","""PD""","0.05","0.01","1","0","""moore_r=3""","true","1000","0.9176"
"59","""PD""","0.06","0.01","1","0","""von neumann_r=1""","true","1000","0.374"
"60","""PD""","0.06","0.01","1","0","""von neumann_r=1""","true","1000","0.4116"
"53","""PD""","0.05","0.01","1","0","""moore_r=3""","true","1000","0.8864"
"54","""PD""","0.05","0.01","1","0","""moore_r=3""","true","1000","0.9052"
"64","""PD""","0.07","0.01","1","0","""moore_r=1""","true","1000","0.8332"
"65","""PD""","0.07","0.01","1","0","""moore_r=1""","true","1000","0.8384"
"66","""PD""","0.07","0.01","1","0","""moore_r=1""","true","1000","0.796"
"67","""PD""","0.07","0.01","1","0","""von neumann_r=1""","true","1000","0.2764"
"68","""PD""","0.07","0.01","1","0","""von neumann_r=1""","true","1000","0.2324"
"69","""PD""","0.07","0.01","1","0","""von neumann_r=1""","true","1000","0.3432"
"61","""PD""","0.06","0.01","1","0","""moore_r=3""","true","1000","0.884"
"62","""PD""","0.06","0.01","1","0","""moore_r=3""","true","1000","0.818"
"63","""PD""","0.06","0.01","1","0","""moore_r=3""","true","1000","0.8548"
"73","""PD""","0.08","0.01","1","0","""moore_r=1""","true","1000","0.78"
"74","""PD""","0.08","0.01","1","0","""moore_r=1""","true","1000","0.8192"
"75","""PD""","0.08","0.01","1","0","""moore_r=1""","true","1000","0.7668"
"76","""PD""","0.08","0.01","1","0","""von neumann_r=1""","true","1000","0.1468"
"77","""PD""","0.08","0.01","1","0","""von neumann_r=1""","true","1000","0.1096"
"70","""PD""","0.07","0.01","1","0","""moore_r=3""","true","1000","0.8308"
"78","""PD""","0.08","0.01","1","0","""von neumann_r=1""","true","1000","0.116"
"71","""PD""","0.07","0.01","1","0","""moore_r=3""","true","1000","0.8224"
"72","""PD""","0.07","0.01","1","0","""moore_r=3""","true","1000","0.8312"
"82","""PD""","0.09","0.01","1","0","""moore_r=1""","true","1000","0.7548"
"83","""PD""","0.09","0.01","1","0","""moore_r=1""","true","1000","0.7736"
"84","""PD""","0.09","0.01","1","0","""moore_r=1""","true","1000","0.7576"
"85","""PD""","0.09","0.01","1","0","""von neumann_r=1""","true","1000","0.0696"
"86","""PD""","0.09","0.01","1","0","""von neumann_r=1""","true","1000","0.092"
"87","""PD""","0.09","0.01","1","0","""von neumann_r=1""","true","1000","0.0528"
"79","""PD""","0.08","0.01","1","0","""moore_r=3""","true","1000","0.7828"
"80","""PD""","0.08","0.01","1","0","""moore_r=3""","true","1000","0.8632"
"81","""PD""","0.08","0.01","1","0","""moore_r=3""","true","1000","0.7608"
"91","""PD""","0.1","0.01","1","0","""moore_r=1""","true","1000","0.686"
"92","""PD""","0.1","0.01","1","0","""moore_r=1""","true","1000","0.7236"
"93","""PD""","0.1","0.01","1","0","""moore_r=1""","true","1000","0.6768"
"94","""PD""","0.1","0.01","1","0","""von neumann_r=1""","true","1000","0.04"
"88","""PD""","0.09","0.01","1","0","""moore_r=3""","true","1000","0.7304"
"95","""PD""","0.1","0.01","1","0","""von neumann_r=1""","true","1000","0.0404"
"96","""PD""","0.1","0.01","1","0","""von neumann_r=1""","true","1000","0.0192"
"89","""PD""","0.09","0.01","1","0","""moore_r=3""","true","1000","0.624"
"90","""PD""","0.09","0.01","1","0","""moore_r=3""","true","1000","0.7112"
"100","""PD""","0.11","0.01","1","0","""moore_r=1""","true","1000","0.6488"
"101","""PD""","0.11","0.01","1","0","""moore_r=1""","true","1000","0.6392"
"102","""PD""","0.11","0.01","1","0","""moore_r=1""","true","1000","0.666"
"103","""PD""","0.11","0.01","1","0","""von neumann_r=1""","true","1000","0.0188"
"104","""PD""","0.11","0.01","1","0","""von neumann_r=1""","true","1000","0.0060"
"105","""PD""","0.11","0.01","1","0","""von neumann_r=1""","true","1000","0.0080"
"97","""PD""","0.1","0.01","1","0","""moore_r=3""","true","1000","0.7004"
"98","""PD""","0.1","0.01","1","0","""moore_r=3""","true","1000","0.6808"
"99","""PD""","0.1","0.01","1","0","""moore_r=3""","true","1000","0.696"
"109","""PD""","0.12","0.01","1","0","""moore_r=1""","true","1000","0.6304"
"110","""PD""","0.12","0.01","1","0","""moore_r=1""","true","1000","0.6088"
"111","""PD""","0.12","0.01","1","0","""moore_r=1""","true","1000","0.5988"
"112","""PD""","0.12","0.01","1","0","""von neumann_r=1""","true","1000","0.018"
"113","""PD""","0.12","0.01","1","0","""von neumann_r=1""","true","1000","0.018"
"114","""PD""","0.12","0.01","1","0","""von neumann_r=1""","true","773","0"
