"X.run.number.","game","cost","initial_propD","benefit","baseline_fitness","neighborhood","play_spatial","X.step.","count.patches.with..strategy_current....C..","r","freq_c"
"2441",2441,"\"HD\"",0.1,0.01,1,0,"\"von neumann_r=1\"","true",900,2500,0.111111111111111,1
"2442",2442,"\"HD\"",0.1,0.01,1,0,"\"von neumann_r=1\"","true",783,2500,0.111111111111111,1
"2443",2443,"\"HD\"",0.1,0.01,1,0,"\"von neumann_r=1\"","true",766,2500,0.111111111111111,1
"2444",2444,"\"HD\"",0.1,0.01,1,0,"\"von neumann_r=1\"","true",950,2500,0.111111111111111,1
"2445",2445,"\"HD\"",0.1,0.01,1,0,"\"von neumann_r=1\"","true",654,2500,0.111111111111111,1
"2446",2449,"\"HD\"",0.1,0.01,1,0,"\"von neumann_r=1\"","true",560,2500,0.111111111111111,1
"2447",2447,"\"HD\"",0.1,0.01,1,0,"\"von neumann_r=1\"","true",778,2500,0.111111111111111,1
"2448",2448,"\"HD\"",0.1,0.01,1,0,"\"von neumann_r=1\"","true",911,2500,0.111111111111111,1
"2449",2446,"\"HD\"",0.1,0.01,1,0,"\"von neumann_r=1\"","true",1000,2499,0.111111111111111,0.9996
"2450",2450,"\"HD\"",0.1,0.01,1,0,"\"von neumann_r=1\"","true",860,2500,0.111111111111111,1
"2469",2470,"\"HD\"",0.11,0.01,1,0,"\"moore_r=1\"","true",1000,2485,0.123595505617978,0.994
"2470",2459,"\"HD\"",0.1,0.01,1,0,"\"moore_r=3\"","true",1000,2346,0.111111111111111,0.9384
"2472",2474,"\"HD\"",0.11,0.01,1,0,"\"von neumann_r=1\"","true",709,2500,0.123595505617978,1
"2473",2473,"\"HD\"",0.11,0.01,1,0,"\"von neumann_r=1\"","true",1000,2499,0.123595505617978,0.9996
"2474",2475,"\"HD\"",0.11,0.01,1,0,"\"von neumann_r=1\"","true",1000,2499,0.123595505617978,0.9996
"2476",2478,"\"HD\"",0.11,0.01,1,0,"\"von neumann_r=1\"","true",591,2500,0.123595505617978,1
"2477",2477,"\"HD\"",0.11,0.01,1,0,"\"von neumann_r=1\"","true",719,2500,0.123595505617978,1
"2478",2479,"\"HD\"",0.11,0.01,1,0,"\"von neumann_r=1\"","true",651,2500,0.123595505617978,1
"2479",2460,"\"HD\"",0.1,0.01,1,0,"\"moore_r=3\"","true",1000,2309,0.111111111111111,0.9236
"2480",2480,"\"HD\"",0.11,0.01,1,0,"\"von neumann_r=1\"","true",740,2500,0.123595505617978,1
"2498",2500,"\"HD\"",0.12,0.01,1,0,"\"moore_r=1\"","true",1000,2478,0.136363636363636,0.9912
"2501",2503,"\"HD\"",0.12,0.01,1,0,"\"von neumann_r=1\"","true",526,2500,0.136363636363636,1
"2502",2504,"\"HD\"",0.12,0.01,1,0,"\"von neumann_r=1\"","true",496,2500,0.136363636363636,1
"2503",2505,"\"HD\"",0.12,0.01,1,0,"\"von neumann_r=1\"","true",722,2500,0.136363636363636,1
"2504",2506,"\"HD\"",0.12,0.01,1,0,"\"von neumann_r=1\"","true",912,2500,0.136363636363636,1
"2506",2507,"\"HD\"",0.12,0.01,1,0,"\"von neumann_r=1\"","true",724,2500,0.136363636363636,1
"2507",2508,"\"HD\"",0.12,0.01,1,0,"\"von neumann_r=1\"","true",938,2500,0.136363636363636,1
"2508",2509,"\"HD\"",0.12,0.01,1,0,"\"von neumann_r=1\"","true",820,2500,0.136363636363636,1
"2509",2510,"\"HD\"",0.12,0.01,1,0,"\"von neumann_r=1\"","true",796,2500,0.136363636363636,1
"2510",2490,"\"HD\"",0.11,0.01,1,0,"\"moore_r=3\"","true",1000,2288,0.123595505617978,0.9152
"2529",2531,"\"HD\"",0.13,0.01,1,0,"\"von neumann_r=1\"","true",610,2500,0.149425287356322,1
"2530",2532,"\"HD\"",0.13,0.01,1,0,"\"von neumann_r=1\"","true",999,2500,0.149425287356322,1
"2531",2533,"\"HD\"",0.13,0.01,1,0,"\"von neumann_r=1\"","true",397,2500,0.149425287356322,1
"2532",2519,"\"HD\"",0.12,0.01,1,0,"\"moore_r=3\"","true",1000,2268,0.136363636363636,0.9072
"2534",2535,"\"HD\"",0.13,0.01,1,0,"\"von neumann_r=1\"","true",709,2500,0.149425287356322,1
"2535",2520,"\"HD\"",0.12,0.01,1,0,"\"moore_r=3\"","true",1000,2259,0.136363636363636,0.9036
"2536",2536,"\"HD\"",0.13,0.01,1,0,"\"von neumann_r=1\"","true",971,2500,0.149425287356322,1
"2538",2537,"\"HD\"",0.13,0.01,1,0,"\"von neumann_r=1\"","true",847,2500,0.149425287356322,1
"2539",2538,"\"HD\"",0.13,0.01,1,0,"\"von neumann_r=1\"","true",497,2500,0.149425287356322,1
"2540",2539,"\"HD\"",0.13,0.01,1,0,"\"von neumann_r=1\"","true",462,2500,0.149425287356322,1
"2559",2561,"\"HD\"",0.14,0.01,1,0,"\"von neumann_r=1\"","true",960,2500,0.162790697674419,1
"2560",2562,"\"HD\"",0.14,0.01,1,0,"\"von neumann_r=1\"","true",931,2500,0.162790697674419,1
"2562",2549,"\"HD\"",0.13,0.01,1,0,"\"moore_r=3\"","true",1000,2257,0.149425287356322,0.9028
"2563",2564,"\"HD\"",0.14,0.01,1,0,"\"von neumann_r=1\"","true",898,2500,0.162790697674419,1
"2565",2567,"\"HD\"",0.14,0.01,1,0,"\"von neumann_r=1\"","true",780,2500,0.162790697674419,1
"2566",2565,"\"HD\"",0.14,0.01,1,0,"\"von neumann_r=1\"","true",896,2500,0.162790697674419,1
"2567",2550,"\"HD\"",0.13,0.01,1,0,"\"moore_r=3\"","true",1000,2275,0.149425287356322,0.91
"2568",2568,"\"HD\"",0.14,0.01,1,0,"\"von neumann_r=1\"","true",487,2500,0.162790697674419,1
"2569",2570,"\"HD\"",0.14,0.01,1,0,"\"von neumann_r=1\"","true",679,2500,0.162790697674419,1
"2570",2569,"\"HD\"",0.14,0.01,1,0,"\"von neumann_r=1\"","true",1000,2499,0.162790697674419,0.9996
"2589",2591,"\"HD\"",0.15,0.01,1,0,"\"von neumann_r=1\"","true",869,2500,0.176470588235294,1
"2591",2579,"\"HD\"",0.14,0.01,1,0,"\"moore_r=3\"","true",1000,2228,0.162790697674419,0.8912
"2592",2594,"\"HD\"",0.15,0.01,1,0,"\"von neumann_r=1\"","true",563,2500,0.176470588235294,1
"2593",2593,"\"HD\"",0.15,0.01,1,0,"\"von neumann_r=1\"","true",609,2500,0.176470588235294,1
"2595",2595,"\"HD\"",0.15,0.01,1,0,"\"von neumann_r=1\"","true",914,2500,0.176470588235294,1
"2596",2596,"\"HD\"",0.15,0.01,1,0,"\"von neumann_r=1\"","true",950,2500,0.176470588235294,1
"2597",2597,"\"HD\"",0.15,0.01,1,0,"\"von neumann_r=1\"","true",725,2500,0.176470588235294,1
"2598",2598,"\"HD\"",0.15,0.01,1,0,"\"von neumann_r=1\"","true",1000,2499,0.176470588235294,0.9996
"2599",2599,"\"HD\"",0.15,0.01,1,0,"\"von neumann_r=1\"","true",986,2500,0.176470588235294,1
"2600",2600,"\"HD\"",0.15,0.01,1,0,"\"von neumann_r=1\"","true",643,2500,0.176470588235294,1
"2620",2622,"\"HD\"",0.16,0.01,1,0,"\"von neumann_r=1\"","true",1000,2499,0.19047619047619,0.9996
"2621",2623,"\"HD\"",0.16,0.01,1,0,"\"von neumann_r=1\"","true",1000,2498,0.19047619047619,0.9992
"2622",2609,"\"HD\"",0.15,0.01,1,0,"\"moore_r=3\"","true",1000,2198,0.176470588235294,0.8792
"2623",2624,"\"HD\"",0.16,0.01,1,0,"\"von neumann_r=1\"","true",1000,2499,0.19047619047619,0.9996
"2624",2626,"\"HD\"",0.16,0.01,1,0,"\"von neumann_r=1\"","true",484,2500,0.19047619047619,1
"2625",2610,"\"HD\"",0.15,0.01,1,0,"\"moore_r=3\"","true",1000,2200,0.176470588235294,0.88
"2627",2627,"\"HD\"",0.16,0.01,1,0,"\"von neumann_r=1\"","true",1000,2497,0.19047619047619,0.9988
"2628",2628,"\"HD\"",0.16,0.01,1,0,"\"von neumann_r=1\"","true",958,2500,0.19047619047619,1
"2629",2629,"\"HD\"",0.16,0.01,1,0,"\"von neumann_r=1\"","true",1000,2497,0.19047619047619,0.9988
"2630",2630,"\"HD\"",0.16,0.01,1,0,"\"von neumann_r=1\"","true",942,2500,0.19047619047619,1
"2649",2651,"\"HD\"",0.17,0.01,1,0,"\"von neumann_r=1\"","true",801,2500,0.204819277108434,1
"2650",2652,"\"HD\"",0.17,0.01,1,0,"\"von neumann_r=1\"","true",448,2500,0.204819277108434,1
"2651",2653,"\"HD\"",0.17,0.01,1,0,"\"von neumann_r=1\"","true",485,2500,0.204819277108434,1
"2652",2654,"\"HD\"",0.17,0.01,1,0,"\"von neumann_r=1\"","true",837,2500,0.204819277108434,1
"2653",2655,"\"HD\"",0.17,0.01,1,0,"\"von neumann_r=1\"","true",1000,2498,0.204819277108434,0.9992
