"BehaviorSpace results (NetLogo 5.1.0)"
"task2.nlogo"
"PD HD neighborhood cost"
"12/17/2014 23:21:36:759 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","49","0","49"
"[run number]","game","cost","initial_propD","benefit","baseline_fitness","neighborhood","play_spatial","[step]","count patches with [strategy_current = ""C""]"
"2","""PD""","0.1","0.01","1","0","""moore_r=1""","true","1000","1726"
"3","""PD""","0.1","0.01","1","0","""moore_r=1""","true","1000","1811"
"4","""PD""","0.1","0.01","1","0","""moore_r=1""","true","1000","1775"
"1","""PD""","0.1","0.01","1","0","""moore_r=1""","true","1000","1774"
"5","""PD""","0.1","0.01","1","0","""moore_r=1""","true","1000","1774"
"6","""PD""","0.1","0.01","1","0","""moore_r=1""","true","1000","1897"
"7","""PD""","0.1","0.01","1","0","""moore_r=1""","true","1000","1739"
"8","""PD""","0.1","0.01","1","0","""moore_r=1""","true","1000","1874"
"9","""PD""","0.1","0.01","1","0","""moore_r=1""","true","1000","1821"
"10","""PD""","0.1","0.01","1","0","""moore_r=1""","true","1000","1891"
"11","""PD""","0.1","0.01","1","0","""von neumann_r=1""","true","1000","60"
"13","""PD""","0.1","0.01","1","0","""von neumann_r=1""","true","1000","119"
"12","""PD""","0.1","0.01","1","0","""von neumann_r=1""","true","1000","95"
"14","""PD""","0.1","0.01","1","0","""von neumann_r=1""","true","1000","59"
"15","""PD""","0.1","0.01","1","0","""von neumann_r=1""","true","1000","39"
"16","""PD""","0.1","0.01","1","0","""von neumann_r=1""","true","1000","221"
"18","""PD""","0.1","0.01","1","0","""von neumann_r=1""","true","1000","121"
"19","""PD""","0.1","0.01","1","0","""von neumann_r=1""","true","1000","84"
"17","""PD""","0.1","0.01","1","0","""von neumann_r=1""","true","1000","67"
"20","""PD""","0.1","0.01","1","0","""von neumann_r=1""","true","1000","86"
"21","""PD""","0.1","0.01","1","0","""moore_r=3""","true","1000","1502"
"22","""PD""","0.1","0.01","1","0","""moore_r=3""","true","1000","1498"
"24","""PD""","0.1","0.01","1","0","""moore_r=3""","true","1000","1760"
"23","""PD""","0.1","0.01","1","0","""moore_r=3""","true","1000","1635"
"27","""PD""","0.1","0.01","1","0","""moore_r=3""","true","1000","1600"
"26","""PD""","0.1","0.01","1","0","""moore_r=3""","true","1000","1658"
"28","""PD""","0.1","0.01","1","0","""moore_r=3""","true","1000","1682"
"25","""PD""","0.1","0.01","1","0","""moore_r=3""","true","1000","1736"
"32","""PD""","0.11","0.01","1","0","""moore_r=1""","true","1000","1706"
"31","""PD""","0.11","0.01","1","0","""moore_r=1""","true","1000","1623"
"33","""PD""","0.11","0.01","1","0","""moore_r=1""","true","1000","1693"
"34","""PD""","0.11","0.01","1","0","""moore_r=1""","true","1000","1522"
"35","""PD""","0.11","0.01","1","0","""moore_r=1""","true","1000","1771"
"37","""PD""","0.11","0.01","1","0","""moore_r=1""","true","1000","1636"
