"BehaviorSpace results (NetLogo 5.1.0)"
"neighborstask2.nlogo"
"PD HD neighborhood cost"
"12/16/2014 22:04:14:851 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","49","0","49"
"[run number]","game","cost","initial_propD","benefit","baseline_fitness","neighborhood","play_spatial","[step]","count patches with [strategy_current = ""C""]"
"4","""PD""","0.1","0.01","1","0","""von neumann_r=1""","true","1000","251"
"3","""PD""","0.1","0.01","1","0","""moore_r=1""","true","1000","1793"
"2","""PD""","0.1","0.01","1","0","""moore_r=1""","true","1000","1900"
"1","""PD""","0.1","0.01","1","0","""moore_r=1""","true","1000","1868"
"5","""PD""","0.1","0.01","1","0","""von neumann_r=1""","true","1000","85"
"6","""PD""","0.1","0.01","1","0","""von neumann_r=1""","true","1000","203"
"10","""PD""","0.2","0.01","1","0","""moore_r=1""","true","1000","27"
"11","""PD""","0.2","0.01","1","0","""moore_r=1""","true","1000","16"
"12","""PD""","0.2","0.01","1","0","""moore_r=1""","true","1000","2"
"13","""PD""","0.2","0.01","1","0","""von neumann_r=1""","true","749","0"
"14","""PD""","0.2","0.01","1","0","""von neumann_r=1""","true","1000","13"
"15","""PD""","0.2","0.01","1","0","""von neumann_r=1""","true","776","0"
"7","""PD""","0.1","0.01","1","0","""moore_r=3""","true","1000","1612"
"8","""PD""","0.1","0.01","1","0","""moore_r=3""","true","1000","1629"
"9","""PD""","0.1","0.01","1","0","""moore_r=3""","true","1000","1763"
"19","""PD""","0.3","0.01","1","0","""moore_r=1""","true","291","0"
"20","""PD""","0.3","0.01","1","0","""moore_r=1""","true","255","0"
"21","""PD""","0.3","0.01","1","0","""moore_r=1""","true","479","0"
"16","""PD""","0.2","0.01","1","0","""moore_r=3""","true","538","0"
"22","""PD""","0.3","0.01","1","0","""von neumann_r=1""","true","437","0"
"23","""PD""","0.3","0.01","1","0","""von neumann_r=1""","true","472","0"
"24","""PD""","0.3","0.01","1","0","""von neumann_r=1""","true","815","0"
"25","""PD""","0.3","0.01","1","0","""moore_r=3""","true","114","0"
"17","""PD""","0.2","0.01","1","0","""moore_r=3""","true","442","0"
"26","""PD""","0.3","0.01","1","0","""moore_r=3""","true","109","0"
