"BehaviorSpace results (NetLogo 5.1.0)"
"task2.nlogo"
"PD HD neighborhood cost"
"12/19/2014 22:06:34:325 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","49","0","49"
"[run number]","game","cost","initial_propD","benefit","baseline_fitness","neighborhood","play_spatial","[step]","count patches with [strategy_current = ""C""] / count patches"
"4","""PD""","0","0.5","1","0","""von neumann_r=1""","true","500","0.4728"
"3","""PD""","0","0.5","1","0","""moore_r=1""","true","500","0.5064"
"2","""PD""","0","0.5","1","0","""moore_r=1""","true","500","0.5004"
"1","""PD""","0","0.5","1","0","""moore_r=1""","true","500","0.5008"
"5","""PD""","0","0.5","1","0","""von neumann_r=1""","true","500","0.498"
"6","""PD""","0","0.5","1","0","""von neumann_r=1""","true","500","0.492"
"10","""PD""","0.01","0.5","1","0","""moore_r=1""","true","500","0.5076"
"11","""PD""","0.01","0.5","1","0","""moore_r=1""","true","500","0.4956"
"12","""PD""","0.01","0.5","1","0","""moore_r=1""","true","500","0.52"
"13","""PD""","0.01","0.5","1","0","""von neumann_r=1""","true","500","0.5088"
"14","""PD""","0.01","0.5","1","0","""von neumann_r=1""","true","500","0.4972"
"15","""PD""","0.01","0.5","1","0","""von neumann_r=1""","true","500","0.5028"
"7","""PD""","0","0.5","1","0","""moore_r=3""","true","500","0.4872"
"8","""PD""","0","0.5","1","0","""moore_r=3""","true","500","0.5128"
"9","""PD""","0","0.5","1","0","""moore_r=3""","true","500","0.4992"
"19","""PD""","0.02","0.5","1","0","""moore_r=1""","true","500","0.4892"
"20","""PD""","0.02","0.5","1","0","""moore_r=1""","true","500","0.4948"
"21","""PD""","0.02","0.5","1","0","""moore_r=1""","true","500","0.492"
"22","""PD""","0.02","0.5","1","0","""von neumann_r=1""","true","500","0.5148"
"23","""PD""","0.02","0.5","1","0","""von neumann_r=1""","true","500","0.5084"
"24","""PD""","0.02","0.5","1","0","""von neumann_r=1""","true","500","0.5044"
"16","""PD""","0.01","0.5","1","0","""moore_r=3""","true","500","0.5"
"17","""PD""","0.01","0.5","1","0","""moore_r=3""","true","500","0.4944"
"18","""PD""","0.01","0.5","1","0","""moore_r=3""","true","500","0.5164"
"28","""PD""","0.03","0.5","1","0","""moore_r=1""","true","500","0.4896"
"29","""PD""","0.03","0.5","1","0","""moore_r=1""","true","500","0.5164"
"30","""PD""","0.03","0.5","1","0","""moore_r=1""","true","500","0.516"
"31","""PD""","0.03","0.5","1","0","""von neumann_r=1""","true","500","0.516"
"25","""PD""","0.02","0.5","1","0","""moore_r=3""","true","500","0.4872"
"26","""PD""","0.02","0.5","1","0","""moore_r=3""","true","500","0.4856"
"32","""PD""","0.03","0.5","1","0","""von neumann_r=1""","true","500","0.5072"
"33","""PD""","0.03","0.5","1","0","""von neumann_r=1""","true","500","0.5076"
"27","""PD""","0.02","0.5","1","0","""moore_r=3""","true","500","0.486"
"37","""PD""","0.04","0.5","1","0","""moore_r=1""","true","500","0.4968"
"38","""PD""","0.04","0.5","1","0","""moore_r=1""","true","500","0.4928"
"39","""PD""","0.04","0.5","1","0","""moore_r=1""","true","500","0.5028"
"40","""PD""","0.04","0.5","1","0","""von neumann_r=1""","true","500","0.5008"
"41","""PD""","0.04","0.5","1","0","""von neumann_r=1""","true","500","0.4972"
"42","""PD""","0.04","0.5","1","0","""von neumann_r=1""","true","500","0.5176"
"34","""PD""","0.03","0.5","1","0","""moore_r=3""","true","500","0.4892"
"36","""PD""","0.03","0.5","1","0","""moore_r=3""","true","500","0.5108"
"35","""PD""","0.03","0.5","1","0","""moore_r=3""","true","500","0.498"
"46","""PD""","0.05","0.5","1","0","""moore_r=1""","true","500","0.5052"
"47","""PD""","0.05","0.5","1","0","""moore_r=1""","true","500","0.496"
"48","""PD""","0.05","0.5","1","0","""moore_r=1""","true","500","0.5096"
"49","""PD""","0.05","0.5","1","0","""von neumann_r=1""","true","500","0.5164"
"50","""PD""","0.05","0.5","1","0","""von neumann_r=1""","true","500","0.5196"
"43","""PD""","0.04","0.5","1","0","""moore_r=3""","true","500","0.5032"
"51","""PD""","0.05","0.5","1","0","""von neumann_r=1""","true","500","0.5092"
"44","""PD""","0.04","0.5","1","0","""moore_r=3""","true","500","0.4996"
"45","""PD""","0.04","0.5","1","0","""moore_r=3""","true","500","0.486"
"55","""PD""","0.06","0.5","1","0","""moore_r=1""","true","500","0.4876"
"56","""PD""","0.06","0.5","1","0","""moore_r=1""","true","500","0.4968"
"57","""PD""","0.06","0.5","1","0","""moore_r=1""","true","500","0.5"
"58","""PD""","0.06","0.5","1","0","""von neumann_r=1""","true","500","0.5084"
"59","""PD""","0.06","0.5","1","0","""von neumann_r=1""","true","500","0.508"
"60","""PD""","0.06","0.5","1","0","""von neumann_r=1""","true","500","0.5072"
"52","""PD""","0.05","0.5","1","0","""moore_r=3""","true","500","0.504"
"53","""PD""","0.05","0.5","1","0","""moore_r=3""","true","500","0.51"
"54","""PD""","0.05","0.5","1","0","""moore_r=3""","true","500","0.5104"
"64","""PD""","0.07","0.5","1","0","""moore_r=1""","true","500","0.4976"
"65","""PD""","0.07","0.5","1","0","""moore_r=1""","true","500","0.5024"
"66","""PD""","0.07","0.5","1","0","""moore_r=1""","true","500","0.5012"
"67","""PD""","0.07","0.5","1","0","""von neumann_r=1""","true","500","0.5328"
"68","""PD""","0.07","0.5","1","0","""von neumann_r=1""","true","500","0.51"
"69","""PD""","0.07","0.5","1","0","""von neumann_r=1""","true","500","0.4988"
"61","""PD""","0.06","0.5","1","0","""moore_r=3""","true","500","0.4988"
